elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct
1.032,61,60,60.004,60.014,5,1,16.663,16.665,5.000,99.976
2.048,122,60,60.000,60.007,5,1,16.665,16.667,5.000,99.989
3.050,182,60,59.936,59.998,5,1,16.667,16.685,5.000,100.003
13.951,60,60,59.017,60.000,3059,57,16.667,16.944,53.667,100.000
14.968,121,60,60.003,60.002,3108,56,16.666,16.666,55.500,99.996
15.984,182,60,60.002,60.009,2760,59,16.664,16.666,46.780,99.986
19.151,61,60,60.004,59.999,765,10,16.667,16.666,76.500,100.001
20.151,120,60,58.999,60.004,663,11,16.666,16.949,60.273,99.994
