elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct
1.031,61,60,60.009,59.990,5,1,16.669,16.664,5.000,100.016
2.049,122,60,59.968,59.876,5,1,16.701,16.676,5.000,100.208
4.335,147,60,10.934,60.143,5,1,16.627,91.456,5.000,99.763
10.875,3405348,60,40.016,3.242,283813,32814,308.415,24.990,8.649,1850.487
12.088,3405408,60,49.442,3.606,283818,34586,277.299,20.226,8.206,1663.796
13.224,3405468,60,52.801,3.450,283823,32816,289.833,18.939,8.649,1738.997
14.390,3405528,60,51.478,3.409,283828,34587,293.301,19.426,8.206,1759.807
15.592,3405588,60,49.926,3.315,283833,32816,301.676,20.030,8.649,1810.057
16.783,3405648,60,50.380,3.358,283838,34589,297.805,19.849,8.206,1786.829
17.972,3405708,60,50.440,3.375,283843,32818,296.334,19.825,8.649,1778.003
19.170,3405768,60,50.101,3.333,283848,34590,299.986,19.960,8.206,1799.913
20.395,3405828,60,48.980,3.296,283853,32818,303.429,20.417,8.649,1820.576
21.614,3405888,60,49.213,3.305,283858,34592,302.612,20.320,8.206,1815.674
22.821,3405948,60,49.710,3.310,283863,32820,302.154,20.117,8.649,1812.925
24.038,3406008,60,49.298,3.311,283868,34593,302.057,20.285,8.206,1812.340
25.235,3406068,60,50.123,3.318,283873,32820,301.414,19.951,8.649,1808.487
26.422,3406128,60,50.554,3.386,283878,34594,295.340,19.781,8.206,1772.043
27.606,3406188,60,50.684,3.397,283883,32822,294.380,19.730,8.649,1766.277
28.795,3406248,60,50.470,3.400,283888,34596,294.105,19.814,8.206,1764.628
29.987,3406308,60,50.311,3.353,283893,32822,298.268,19.876,8.649,1789.611
31.162,3406368,60,51.095,3.373,283898,34597,296.507,19.572,8.206,1779.045
32.367,3406428,60,49.772,3.282,283903,32824,304.688,20.092,8.649,1828.125
33.548,3406488,60,50.787,3.346,283908,34599,298.882,19.690,8.206,1793.291
34.757,3406548,60,49.642,3.251,283913,32825,307.593,20.144,8.649,1845.558
35.916,3406608,60,51.760,3.478,283918,34599,287.556,19.320,8.206,1725.334
37.065,3406668,60,52.241,3.457,283923,32826,289.298,19.142,8.649,1735.785
38.212,3406728,60,52.309,3.474,283928,34601,287.854,19.117,8.206,1727.126
39.343,3406788,60,53.021,3.511,283933,32827,284.813,18.861,8.649,1708.881
40.483,3406848,60,52.654,3.490,283938,34601,286.563,18.992,8.206,1719.379
41.625,3406908,60,52.538,3.524,283943,32829,283.768,19.034,8.649,1702.608
42.770,3406968,60,52.412,3.511,283948,34603,284.793,19.080,8.206,1708.755
43.974,3407028,60,49.835,3.435,283953,32830,291.123,20.066,8.649,1746.741
45.096,3407088,60,53.448,3.554,283958,34603,281.389,18.710,8.206,1688.336
46.215,3407148,60,53.656,3.593,283963,32831,278.330,18.637,8.649,1669.979
47.318,3407208,60,54.355,3.605,283968,34606,277.424,18.397,8.206,1664.545
48.420,3407268,60,54.442,3.607,283973,32833,277.211,18.368,8.649,1663.265
49.520,3407328,60,54.565,3.625,283978,34606,275.854,18.327,8.206,1655.123
50.634,3407388,60,53.869,3.580,283983,32833,279.359,18.564,8.649,1676.156
51.818,3407448,60,50.673,3.302,283988,34608,302.851,19.735,8.206,1817.108
52.935,3407508,60,53.698,3.598,283993,32835,277.971,18.623,8.649,1667.824
54.071,3407568,60,52.814,3.501,283998,34609,285.642,18.934,8.206,1713.852
55.192,3407628,60,53.545,3.566,284003,32835,280.450,18.676,8.649,1682.700
56.293,3407688,60,54.507,3.629,284008,34610,275.549,18.346,8.206,1653.296
57.406,3407748,60,53.918,3.627,284013,32837,275.729,18.547,8.649,1654.371
58.504,3407808,60,54.642,3.648,284018,34611,274.113,18.301,8.206,1644.676
59.612,3407868,60,54.125,3.599,284023,32837,277.846,18.476,8.649,1667.073
60.730,3407928,60,53.692,3.605,284028,34612,277.397,18.625,8.206,1664.381
61.852,3407988,60,53.472,3.575,284033,32839,279.728,18.701,8.649,1678.365
62.966,3408048,60,53.826,3.596,284038,34614,278.094,18.578,8.206,1668.565
