elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct
1.031,61,60,60.031,60.047,5,1,16.654,16.658,5.000,99.921
2.033,121,60,59.886,59.774,5,1,16.730,16.698,5.000,100.379
3.033,181,60,59.993,60.073,5,1,16.646,16.669,5.000,99.878
4.037,241,60,59.789,59.975,5,1,16.674,16.725,5.000,100.042
5.049,302,60,60.277,60.008,5,1,16.664,16.590,5.000,99.987
6.051,362,60,59.881,60.068,5,1,16.648,16.700,5.000,99.887
7.065,423,60,60.113,59.856,5,1,16.707,16.635,5.000,100.240
8.069,483,60,59.774,60.033,5,1,16.658,16.730,5.000,99.945
9.082,544,60,60.231,60.062,5,1,16.650,16.603,5.000,99.898
48.882,615,60,59.980,60.094,562,5,16.640,16.672,112.400,99.843
49.883,675,60,59.924,59.976,601,5,16.673,16.688,120.200,100.040
50.898,736,60,60.078,60.155,761,7,16.624,16.645,108.714,99.743
51.916,796,60,58.941,59.912,802,8,16.691,16.966,100.250,100.148
52.931,858,60,61.115,60.172,911,11,16.619,16.363,82.818,99.715
53.932,917,60,58.942,59.999,850,12,16.667,16.966,70.833,100.002
54.932,978,60,60.992,60.100,822,12,16.639,16.396,68.500,99.834
55.947,1038,60,59.073,59.892,751,13,16.697,16.928,57.769,100.181
56.964,1100,60,60.985,59.626,600,13,16.771,16.398,46.154,100.627
57.965,1160,60,59.964,59.980,581,14,16.672,16.677,41.500,100.034
58.965,1219,60,58.992,59.505,585,16,16.805,16.951,36.562,100.832
59.981,1281,60,61.032,59.967,572,17,16.676,16.385,33.647,100.055
60.982,1340,60,58.897,59.852,575,16,16.708,16.979,35.938,100.247
61.998,1402,60,61.064,60.008,696,18,16.665,16.376,38.667,99.987
63.002,1462,60,59.757,60.094,592,17,16.641,16.734,34.824,99.844
64.014,1522,60,59.297,59.876,554,17,16.701,16.864,32.588,100.207
65.016,1582,60,59.867,59.918,678,17,16.690,16.704,39.882,100.137
78.113,61,60,60.065,59.940,1844,11,16.683,16.649,167.636,100.100
79.114,121,60,59.968,59.952,1847,12,16.680,16.676,153.917,100.079
89.647,60,60,58.991,59.935,50240,151,16.685,16.952,332.715,100.108
90.664,121,60,59.980,59.674,127848,234,16.758,16.672,546.359,100.547
91.680,182,60,60.027,59.992,78424,251,16.669,16.659,312.446,100.014
