elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct,step_ms_per_generation,step_ms_per_frame,board_render_ms_per_frame,work_ms_per_frame,generations_executed,candidate_build_ms_per_generation,candidate_evaluate_ms_per_generation,candidates_per_generation,rows_evaluated_per_generation
1.015,60,60,59.987,59.989,5,1,16.670,16.670,5.000,100.018,0.005,0.005,0.004,13.252,60,0.003,0.002,1.067,5.150
7.123,3405334,60,28.169,1.952,283815,34587,512.423,35.501,8.206,3074.539,34.777,215.614,0.008,216.576,31,4.693,25.889,35901.968,298897.613
8.532,3405379,60,31.927,2.215,283812,34587,451.433,31.322,8.206,2708.597,31.236,468.539,0.022,469.489,45,4.624,23.401,35888.200,298855.222
9.825,3405424,60,34.810,2.313,283825,34587,432.251,28.728,8.206,2593.507,28.622,429.333,0.023,430.281,45,4.547,21.664,35967.378,298857.200
11.120,3405469,60,34.756,2.331,283825,32816,428.924,28.772,8.649,2573.545,28.666,429.985,0.025,430.944,45,4.581,21.688,35889.089,298938.689
12.420,3405514,60,34.615,2.339,283830,34587,427.565,28.889,8.206,2565.388,28.785,431.773,0.027,432.733,45,4.575,21.780,35889.822,298828.044
13.692,3405559,60,35.357,2.358,283827,34588,424.118,28.283,8.206,2544.707,28.188,422.820,0.024,423.736,45,4.541,21.305,35967.756,298906.644
14.973,3405604,60,35.138,2.347,283840,32816,426.031,28.460,8.649,2556.187,28.379,425.692,0.024,426.637,45,4.533,21.505,35889.711,298911.422
23.247,3405347,60,30.903,2.139,283815,34587,467.406,32.359,8.206,2804.435,31.448,230.617,0.024,231.479,44,4.679,23.577,35876.273,298869.341
24.556,3405392,60,34.393,2.307,283826,34586,433.461,29.075,8.206,2600.764,29.003,435.050,0.025,436.094,45,4.652,21.896,35967.244,298857.244
25.844,3405437,60,34.927,2.319,283828,32815,431.230,28.631,8.649,2587.378,28.563,428.445,0.025,429.429,45,4.562,21.621,35888.600,298935.867
27.134,3405482,60,34.887,2.335,283824,34588,428.351,28.664,8.206,2570.104,28.593,428.898,0.024,429.854,45,4.588,21.638,35889.400,298822.356
28.498,3405527,60,32.987,2.174,283830,34587,460.017,30.315,8.206,2760.103,30.245,453.677,0.024,454.667,45,4.640,22.789,35968.467,298907.622
29.840,3405572,60,33.523,2.249,283841,32815,444.650,29.830,8.650,2667.898,29.766,446.489,0.025,447.421,45,4.586,22.410,35888.844,298908.089
31.182,3405617,60,33.552,2.236,283843,34589,447.231,29.804,8.206,2683.389,29.737,446.051,0.023,447.023,45,4.641,22.318,35929.844,298835.489
32.528,3405662,60,33.418,2.229,283839,34589,448.567,29.924,8.206,2691.402,29.856,447.845,0.025,448.821,45,4.608,22.438,35930.444,298957.733
33.885,3405707,60,33.173,2.222,283845,34591,450.109,30.145,8.206,2700.656,30.080,451.203,0.024,452.114,45,4.688,22.607,35891.400,298881.156
35.227,3405752,60,33.521,2.234,283856,34590,447.694,29.832,8.206,2686.163,29.758,446.373,0.023,447.438,45,4.618,22.335,35971.556,298888.022
36.549,3405797,60,34.041,2.276,283858,32817,439.317,29.376,8.650,2635.902,29.310,439.655,0.023,440.589,45,4.555,22.099,35891.911,298967.911
37.877,3405842,60,33.885,2.273,283854,34591,439.966,29.511,8.206,2639.794,29.449,441.728,0.023,442.632,45,4.584,22.230,35891.644,298852.556
39.162,3405887,60,35.016,2.342,283860,34592,427.038,28.559,8.206,2562.225,28.492,427.375,0.032,428.344,45,4.554,21.559,35972.400,298939.800
40.478,3405932,60,34.213,2.281,283871,32819,438.379,29.229,8.650,2630.277,29.165,437.475,0.024,438.390,45,4.582,22.022,35893.800,298941.644
41.786,3405977,60,34.382,2.303,283873,34594,434.199,29.085,8.206,2605.196,29.021,435.310,0.024,436.238,45,4.591,21.928,35934.089,298865.800
43.094,3406022,60,34.424,2.301,283869,34593,434.671,29.049,8.206,2608.028,28.983,434.745,0.025,435.700,45,4.594,21.891,35934.556,298989.244
44.389,3406067,60,34.744,2.316,283875,34593,431.755,28.782,8.206,2590.529,28.717,430.756,0.023,431.694,45,4.576,21.706,35894.200,298912.667
45.689,3406112,60,34.623,2.322,283886,34594,430.692,28.883,8.206,2584.151,28.818,432.264,0.024,433.205,45,4.611,21.740,35974.178,298918.022
46.988,3406157,60,34.628,2.316,283888,32821,431.743,28.878,8.650,2590.455,28.814,432.207,0.024,433.138,45,4.591,21.772,35896.289,299000.933
48.285,3406202,60,34.688,2.305,283884,34595,433.780,28.828,8.206,2602.681,28.758,431.369,0.024,432.331,45,4.596,21.736,35896.422,298885.578
49.580,3406247,60,34.747,2.312,283890,34596,432.496,28.779,8.206,2594.976,28.690,430.347,0.025,431.636,45,4.576,21.692,35976.711,298969.800
50.866,3406292,60,35.001,2.342,283901,32822,426.986,28.571,8.650,2561.918,28.510,427.646,0.024,428.527,45,4.547,21.577,35897.489,298973.156
52.144,3406337,60,35.206,2.347,283903,34596,426.111,28.404,8.206,2556.665,28.338,425.070,0.024,426.026,45,4.562,21.435,35936.533,298897.311
53.441,3406382,60,34.714,2.297,283899,34597,435.306,28.807,8.206,2611.834,28.730,430.955,0.028,431.931,45,4.616,21.715,35937.800,299019.800
54.728,3406427,60,34.954,2.333,283905,34598,428.688,28.609,8.206,2572.127,28.540,428.100,0.024,429.098,45,4.557,21.646,35898.889,298946.244
56.016,3406472,60,34.947,2.328,283916,34598,429.525,28.615,8.206,2577.147,28.552,428.284,0.024,429.187,45,4.541,21.640,35978.644,298949.933
57.299,3406517,60,35.077,2.334,283918,32825,428.406,28.509,8.649,2570.433,28.442,426.632,0.024,427.595,45,4.533,21.579,35900.600,299031.378
58.588,3406562,60,34.907,2.333,283914,34598,428.680,28.648,8.206,2572.082,28.581,428.713,0.035,429.676,45,4.546,21.642,35899.800,298917.644
59.879,3406607,60,34.861,2.324,283920,34599,430.237,28.685,8.206,2581.423,28.620,429.302,0.024,430.238,45,4.528,21.708,35978.956,299000.311
61.164,3406652,60,35.000,2.336,283931,32826,428.023,28.571,8.650,2568.135,28.496,427.447,0.030,428.519,45,4.526,21.575,35901.289,299005.022
62.453,3406697,60,34.926,2.335,283933,34601,428.345,28.632,8.206,2570.067,28.560,428.406,0.024,429.445,45,4.546,21.615,35941.489,298930.867
63.751,3406742,60,34.672,2.292,283929,34602,436.348,28.842,8.206,2618.089,28.776,431.634,0.024,432.593,45,4.523,21.774,35942.044,299050.422
65.032,3406787,60,35.112,2.351,283935,34601,425.288,28.480,8.206,2551.730,28.417,426.251,0.024,427.162,45,4.524,21.515,35903.067,298977.756
66.317,3406832,60,35.016,2.330,283946,34600,429.120,28.559,8.207,2574.718,28.492,427.377,0.025,428.341,45,4.533,21.614,35981.578,298981.444
67.597,3406877,60,35.178,2.345,283948,32828,426.500,28.427,8.650,2559.001,28.353,425.289,0.024,426.367,45,4.522,21.488,35903.089,299061.378
68.883,3406922,60,34.968,2.331,283944,34602,428.951,28.597,8.206,2573.703,28.533,427.999,0.024,428.924,45,4.519,21.630,35904.111,298950.667
70.178,3406967,60,34.767,2.310,283950,34603,432.932,28.763,8.206,2597.592,28.697,430.461,0.025,431.411,45,4.534,21.720,35983.800,299033.333
71.460,3407012,60,35.085,2.342,283961,32830,426.920,28.503,8.649,2561.522,28.439,426.578,0.026,427.501,45,4.545,21.544,35905.600,299035.022
72.752,3407057,60,34.850,2.328,283963,34604,429.632,28.695,8.206,2577.791,28.628,429.425,0.024,430.380,45,4.561,21.725,35945.244,298962.378
74.043,3407102,60,34.839,2.319,283959,34604,431.287,28.703,8.206,2587.725,28.635,429.531,0.024,430.510,45,4.556,21.694,35944.556,299081.933
75.332,3407147,60,34.910,2.319,283965,34605,431.134,28.645,8.206,2586.803,28.579,428.678,0.024,429.636,45,4.550,21.688,35906.178,299008.000
76.620,3407192,60,34.944,2.333,283976,34605,428.698,28.617,8.206,2572.186,28.550,428.253,0.024,429.218,45,4.538,21.671,35986.200,299015.000
