elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct
1.032,61,60,60.004,59.995,5,1,16.668,16.666,5.000,100.008
2.033,121,60,59.918,59.860,5,1,16.706,16.689,5.000,100.233
8.452,59,60,58.998,60.007,34,2,16.665,16.950,17.000,99.988
9.469,121,60,60.993,60.005,41,3,16.665,16.395,13.667,99.992
10.469,180,60,58.997,60.001,44,2,16.666,16.950,22.000,99.998
11.485,241,60,60.002,60.007,51,3,16.665,16.666,17.000,99.989
12.502,302,60,60.003,60.005,59,4,16.665,16.666,14.750,99.992
13.518,363,60,60.005,60.000,69,5,16.667,16.665,13.800,100.000
14.518,423,60,59.999,59.994,74,5,16.668,16.667,14.800,100.010
15.518,483,60,59.999,60.003,79,6,16.666,16.667,13.167,99.995
16.535,545,60,60.987,59.996,96,6,16.668,16.397,16.000,100.007
17.553,606,60,59.952,59.996,89,7,16.668,16.680,12.714,100.006
18.566,667,60,60.212,61.070,94,9,16.375,16.608,10.444,98.247
19.566,727,60,59.962,60.019,99,8,16.661,16.677,12.375,99.968
