elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct
1.019,61,60,60.726,59.968,5,1,16.676,16.467,5.000,100.054
2.019,121,60,59.992,59.788,5,1,16.726,16.669,5.000,100.355
12.072,3405343,60,35.669,3.364,283817,34587,297.264,28.035,8.206,1783.582
13.126,3405388,60,42.686,2.755,283820,32813,362.943,23.427,8.650,2177.657
14.455,3405448,60,45.174,2.981,283825,34588,335.430,22.137,8.206,2012.582
15.772,3405508,60,45.543,3.052,283830,32814,327.608,21.957,8.650,1965.648
17.089,3405568,60,45.567,3.040,283835,34588,328.905,21.946,8.206,1973.429
18.120,3405613,60,43.658,2.909,283841,32816,343.757,22.905,8.649,2062.541
19.152,3405658,60,43.596,2.908,283839,34590,343.911,22.938,8.206,2063.467
20.197,3405703,60,43.051,2.879,283847,34591,347.397,23.228,8.206,2084.380
21.249,3405748,60,42.756,2.824,283850,32817,354.048,23.389,8.649,2124.286
22.298,3405793,60,42.912,2.869,283856,34590,348.573,23.304,8.206,2091.438
23.339,3405838,60,43.221,2.871,283854,34591,348.318,23.137,8.206,2089.905
24.387,3405883,60,42.954,2.863,283862,34591,349.267,23.281,8.206,2095.600
25.427,3405928,60,43.260,2.886,283865,34593,346.448,23.116,8.206,2078.688
26.477,3405973,60,42.865,2.869,283871,32820,348.586,23.329,8.649,2091.514
27.516,3406018,60,43.323,2.882,283869,34593,347.009,23.082,8.206,2082.053
28.561,3406063,60,43.047,2.872,283877,34593,348.232,23.230,8.206,2089.392
29.665,3406108,60,40.776,2.748,283880,32820,363.913,24.524,8.650,2183.475
30.690,3406153,60,43.893,2.950,283886,34594,338.948,22.782,8.206,2033.687
31.753,3406198,60,42.310,2.838,283884,34595,352.322,23.635,8.206,2113.931
32.774,3406243,60,44.099,2.987,283892,34596,334.835,22.676,8.206,2009.007
33.803,3406288,60,43.739,2.929,283895,34596,341.373,22.863,8.206,2048.237
34.823,3406333,60,44.109,2.962,283901,32822,337.597,22.671,8.650,2025.583
35.839,3406378,60,44.278,2.986,283899,34597,334.910,22.585,8.206,2009.458
37.171,3406438,60,45.048,3.005,283904,34598,332.828,22.199,8.206,1996.971
38.173,3406483,60,44.904,2.983,283912,34598,335.201,22.270,8.206,2011.204
39.191,3406528,60,44.213,3.002,283915,34598,333.148,22.618,8.206,1998.886
40.229,3406573,60,43.359,2.978,283921,32824,335.840,23.063,8.650,2015.042
41.546,3406633,60,45.565,3.045,283926,34599,328.361,21.946,8.206,1970.167
42.864,3406693,60,45.502,3.034,283931,32827,329.562,21.977,8.649,1977.370
44.200,3406753,60,44.924,2.941,283936,34601,340.012,22.260,8.206,2040.073
45.222,3406798,60,44.033,2.892,283934,34601,345.825,22.710,8.206,2074.952
46.578,3406858,60,44.241,2.979,283939,34601,335.662,22.604,8.206,2013.970
47.636,3406903,60,42.520,2.801,283947,34602,357.033,23.519,8.206,2142.199
48.639,3406948,60,44.876,3.010,283950,32829,332.244,22.284,8.649,1993.465
49.698,3406993,60,42.501,2.769,283956,34603,361.126,23.529,8.206,2166.754
50.702,3407038,60,44.800,3.028,283954,34603,330.281,22.321,8.206,1981.689
52.044,3407098,60,44.724,3.006,283959,34603,332.714,22.359,8.206,1996.285
53.131,3407143,60,41.382,2.726,283967,34605,366.868,24.165,8.206,2201.209
54.202,3407188,60,42.024,2.839,283970,32831,352.277,23.796,8.649,2113.661
55.274,3407233,60,41.973,2.866,283976,34605,348.894,23.825,8.206,2093.365
56.374,3407278,60,40.907,2.822,283974,34606,354.306,24.446,8.206,2125.837
57.422,3407323,60,42.968,2.886,283982,34605,346.474,23.273,8.206,2078.842
58.427,3407368,60,44.742,2.960,283985,34606,337.868,22.350,8.206,2027.208
59.750,3407428,60,45.371,3.022,283990,32833,330.907,22.041,8.650,1985.443
61.075,3407488,60,45.265,3.006,283995,34608,332.626,22.092,8.206,1995.757
62.092,3407533,60,44.264,2.913,284001,32835,343.319,22.592,8.649,2059.911
63.414,3407593,60,45.397,3.029,284006,34607,330.102,22.028,8.207,1980.614
64.743,3407653,60,45.143,3.022,284011,32836,330.943,22.152,8.649,1985.656
65.755,3407698,60,44.441,3.005,284009,34610,332.771,22.502,8.206,1996.628
66.803,3407743,60,42.948,2.968,284017,34611,336.925,23.284,8.206,2021.551
67.823,3407788,60,44.144,2.910,284020,32837,343.614,22.653,8.649,2061.684
69.148,3407848,60,45.255,3.023,284025,34610,330.823,22.097,8.206,1984.937
70.472,3407908,60,45.347,3.014,284030,32838,331.794,22.052,8.649,1990.767
71.793,3407968,60,45.396,3.028,284035,34612,330.255,22.028,8.206,1981.528
73.116,3408028,60,45.348,3.032,284040,32840,329.860,22.052,8.649,1979.159
74.118,3408073,60,44.909,2.975,284046,34613,336.152,22.267,8.206,2016.912
