elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct
1.032,61,60,59.972,59.933,5,1,16.685,16.674,5.000,100.111
3.031,78,60,8.507,59.933,5,1,16.685,117.545,5.000,100.111
28.849,193,60,58.974,60.148,85,2,16.626,16.957,42.500,99.754
29.850,254,60,60.911,59.971,106,2,16.675,16.417,53.000,100.049
30.865,315,60,60.111,59.959,138,3,16.678,16.636,46.000,100.069
31.865,375,60,59.997,59.991,150,3,16.669,16.668,50.000,100.016
32.883,436,60,59.892,59.988,106,5,16.670,16.697,21.200,100.019
33.899,497,60,60.046,60.062,106,5,16.649,16.654,21.200,99.896
34.900,557,60,59.971,59.950,106,5,16.681,16.675,21.200,100.084
42.765,5,5,4.925,59.950,23,1,16.681,203.055,23.000,100.083
43.782,10,5,4.917,59.840,27,1,16.711,203.382,27.000,100.268
44.783,15,5,4.991,59.969,48,1,16.675,200.342,48.000,100.051
