elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct
1.015,60,60,59.992,59.983,5,1,16.671,16.669,5.000,100.029
10.365,3405361,60,45.963,3.674,283811,34586,272.189,21.757,8.206,1633.136
11.535,3405432,60,60.700,4.236,283827,34587,236.067,16.474,8.206,1416.401
12.663,3405500,60,60.275,4.446,283821,32814,224.934,16.591,8.649,1349.603
13.670,3405557,60,56.628,3.735,283838,32815,267.767,17.659,8.650,1606.605
14.739,3405617,60,56.126,3.760,283843,34589,265.983,17.817,8.206,1595.899
15.834,3405677,60,54.782,3.658,283848,32817,273.406,18.254,8.649,1640.436
16.912,3405737,60,55.676,3.733,283853,34591,267.899,17.961,8.206,1607.394
17.988,3405797,60,55.733,3.734,283858,32817,267.804,17.943,8.650,1606.821
19.056,3405857,60,56.196,3.766,283863,34592,265.527,17.795,8.206,1593.164
20.113,3405917,60,56.740,3.768,283868,32819,265.425,17.624,8.650,1592.550
21.183,3405977,60,56.107,3.751,283873,34594,266.613,17.823,8.206,1599.678
22.245,3406037,60,56.496,3.750,283878,32820,266.675,17.700,8.650,1600.051
23.309,3406097,60,56.378,3.774,283883,34594,264.972,17.737,8.206,1589.832
24.378,3406157,60,56.148,3.743,283888,32821,267.176,17.810,8.650,1603.058
25.453,3406217,60,55.793,3.730,283893,34596,268.094,17.923,8.206,1608.565
26.519,3406277,60,56.276,3.787,283898,32822,264.087,17.770,8.650,1584.524
27.571,3406337,60,57.020,3.807,283903,34596,262.684,17.538,8.206,1576.104
28.619,3406397,60,57.263,3.806,283908,32824,262.750,17.463,8.649,1576.500
29.670,3406457,60,57.124,3.790,283913,34598,263.836,17.506,8.206,1583.015
30.686,3406517,60,59.045,3.991,283918,32825,250.555,16.936,8.649,1503.328
31.703,3406577,60,58.991,3.947,283923,34598,253.331,16.952,8.206,1519.985
32.732,3406637,60,58.303,3.903,283928,32826,256.246,17.152,8.649,1537.475
33.755,3406697,60,58.655,3.894,283933,34601,256.817,17.049,8.206,1540.904
34.782,3406757,60,58.432,3.901,283938,32828,256.349,17.114,8.649,1538.093
36.037,3406831,60,58.938,3.931,283946,34600,254.377,16.967,8.207,1526.262
37.048,3406891,60,59.343,3.968,283951,34602,252.042,16.851,8.206,1512.253
38.056,3406951,60,59.561,3.954,283956,34603,252.896,16.790,8.206,1517.374
39.299,3407026,60,60.333,4.018,283963,34604,248.851,16.575,8.206,1493.106
40.300,3407086,60,59.913,4.007,283968,34603,249.548,16.691,8.206,1497.288
41.309,3407146,60,59.499,3.960,283973,34605,252.525,16.807,8.206,1515.150
42.310,3407206,60,59.943,3.979,283978,34606,251.347,16.683,8.206,1508.080
43.488,3407277,60,60.257,4.294,283971,32833,232.892,16.595,8.649,1397.352
44.646,3407347,60,60.440,4.293,283984,34606,232.949,16.545,8.206,1397.695
45.819,3407417,60,59.653,4.257,283993,34607,234.926,16.764,8.206,1409.555
46.957,3407486,60,60.659,4.434,283996,34608,225.521,16.486,8.206,1353.126
48.031,3407551,60,60.526,4.679,284006,34608,213.711,16.522,8.206,1282.268
49.055,3407613,60,60.520,4.901,284007,32834,204.046,16.523,8.650,1224.279
50.242,3407685,60,60.662,5.018,284021,32835,199.299,16.485,8.650,1195.792
51.333,3407751,60,60.505,5.503,284018,34613,181.715,16.528,8.206,1090.289
52.405,3407816,60,60.638,5.549,284018,34611,180.217,16.491,8.206,1081.303
53.543,3407885,60,60.629,6.212,284041,32837,160.973,16.494,8.650,965.837
54.596,3407949,60,60.781,6.583,284034,32837,151.915,16.453,8.650,911.493
55.715,3408016,60,59.875,7.293,284036,34614,137.120,16.701,8.206,822.718
56.722,3408077,60,60.574,6.735,284048,32840,148.486,16.509,8.649,890.914
57.741,3408139,60,60.836,7.632,284042,34614,131.028,16.438,8.206,786.168
58.782,3408202,60,60.506,8.636,284052,34616,115.801,16.527,8.206,694.804
59.873,3408268,60,60.506,9.440,284060,32842,105.928,16.527,8.649,635.566
60.963,3408334,60,60.555,10.025,284065,34618,99.754,16.514,8.206,598.521
62.010,3408397,60,60.186,10.366,284066,32841,96.471,16.615,8.650,578.826
63.095,3408462,60,59.924,10.207,284074,34618,97.969,16.688,8.206,587.813
64.194,3408528,60,60.057,10.917,284078,34619,91.597,16.651,8.206,549.585
65.222,3408590,60,60.314,11.611,284086,34621,86.127,16.580,8.206,516.765
66.227,3408650,60,59.686,10.746,284091,34619,93.060,16.754,8.206,558.357
67.235,3408711,60,60.516,12.067,284098,34622,82.873,16.524,8.206,497.239
68.236,3408771,60,59.951,11.953,284103,34621,83.660,16.680,8.206,501.962
69.308,3408836,60,60.590,12.120,284103,32847,82.505,16.504,8.649,495.029
70.325,3408897,60,60.001,13.060,284106,34622,76.569,16.666,8.206,459.412
71.342,3408958,60,59.976,14.412,284114,34623,69.385,16.673,8.206,416.310
72.378,3409020,60,59.842,11.896,284114,32849,84.061,16.711,8.649,504.364
73.460,3409085,60,60.109,11.943,284141,32849,83.733,16.636,8.650,502.400
74.529,3409149,60,59.853,12.057,284134,32848,82.938,16.708,8.650,497.627
75.584,3409212,60,59.708,14.522,284142,32851,68.861,16.748,8.649,413.164
76.677,3409277,60,59.473,11.198,284148,32852,89.301,16.814,8.649,535.806
77.707,3409339,60,60.189,12.067,284142,34627,82.870,16.614,8.206,497.217
78.727,3409400,60,59.774,11.956,284146,34627,83.639,16.730,8.206,501.835
79.774,3409463,60,60.173,10.320,284155,34628,96.895,16.619,8.206,581.371
80.790,3409524,60,60.041,11.668,284168,32853,85.706,16.655,8.650,514.235
