elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct
1.031,61,60,60.011,60.023,5,1,16.660,16.664,5.000,99.961
2.048,122,60,59.983,59.992,5,1,16.669,16.671,5.000,100.014
5.220,156,60,10.720,59.922,5,1,16.688,93.279,5.000,100.129
6.220,216,60,59.969,61.768,5,1,16.189,16.675,5.000,97.137
7.237,277,60,59.972,59.945,5,1,16.682,16.675,5.000,100.092
8.253,338,60,60.039,60.016,5,1,16.662,16.656,5.000,99.973
9.253,398,60,59.994,59.993,5,1,16.669,16.668,5.000,100.012
