elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct
1.015,60,60,59.982,59.976,5,1,16.673,16.672,5.000,100.040
9.181,3405351,60,45.046,4.600,283818,34588,217.393,22.200,8.206,1304.361
10.228,3405411,60,57.300,3.966,283823,34586,252.174,17.452,8.206,1513.045
11.252,3405471,60,58.593,3.866,283828,34590,258.655,17.067,8.205,1551.933
12.347,3405531,60,54.815,3.657,283833,34587,273.465,18.243,8.206,1640.792
13.458,3405591,60,53.977,3.630,283838,34590,275.490,18.526,8.206,1652.942
14.592,3405651,60,52.924,3.572,283843,34589,279.947,18.895,8.206,1679.679
15.695,3405711,60,54.388,3.638,283848,34592,274.839,18.386,8.206,1649.032
16.798,3405771,60,54.423,3.613,283853,34590,276.805,18.375,8.206,1660.829
17.909,3405831,60,54.013,3.601,283858,34592,277.706,18.514,8.206,1666.237
19.021,3405891,60,53.958,3.571,283863,34592,280.070,18.533,8.206,1680.421
20.127,3405951,60,54.239,3.629,283868,34594,275.541,18.437,8.206,1653.245
21.230,3406011,60,54.409,3.609,283873,34593,277.060,18.379,8.206,1662.362
22.332,3406071,60,54.436,3.628,283878,34594,275.655,18.370,8.206,1653.931
23.429,3406131,60,54.711,3.629,283883,34594,275.592,18.278,8.206,1653.552
24.532,3406191,60,54.364,3.645,283888,34596,274.385,18.395,8.206,1646.309
25.628,3406251,60,54.760,3.640,283893,34596,274.735,18.262,8.206,1648.410
26.718,3406311,60,55.025,3.670,283898,34596,272.469,18.174,8.206,1634.815
27.793,3406371,60,55.810,3.770,283903,34597,265.242,17.918,8.206,1591.451
28.872,3406431,60,55.628,3.697,283908,34598,270.509,17.976,8.206,1623.056
29.929,3406491,60,56.745,3.754,283913,34599,266.382,17.623,8.206,1598.294
30.999,3406551,60,56.093,3.699,283918,34599,270.309,17.828,8.206,1621.853
32.048,3406611,60,57.219,3.759,283923,34599,266.009,17.477,8.206,1596.055
33.068,3406671,60,58.782,3.898,283928,34601,256.517,17.012,8.206,1539.100
34.126,3406731,60,56.747,3.791,283933,34601,263.788,17.622,8.206,1582.725
35.173,3406791,60,57.286,3.891,283938,34602,256.973,17.456,8.206,1541.836
36.211,3406851,60,57.831,3.850,283943,34601,259.718,17.292,8.206,1558.309
37.258,3406911,60,57.295,3.880,283948,34604,257.724,17.454,8.206,1546.342
38.272,3406971,60,59.179,3.915,283953,34603,255.454,16.898,8.206,1532.723
39.311,3407031,60,57.735,3.771,283958,34605,265.148,17.321,8.206,1590.887
40.335,3407091,60,58.576,3.905,283963,34603,256.085,17.072,8.206,1536.509
41.344,3407151,60,59.462,3.968,283968,34606,251.996,16.818,8.206,1511.976
42.361,3407211,60,58.994,3.886,283973,34606,257.323,16.951,8.206,1543.937
43.383,3407271,60,58.701,3.949,283978,34608,253.201,17.036,8.206,1519.204
44.411,3407331,60,58.412,3.943,283983,34606,253.594,17.120,8.206,1521.561
45.430,3407391,60,58.873,3.968,283988,34609,252.042,16.986,8.206,1512.253
46.451,3407451,60,58.727,3.977,283993,34608,251.446,17.028,8.206,1508.675
47.466,3407511,60,59.149,3.967,283998,34611,252.095,16.906,8.205,1512.570
48.472,3407571,60,59.608,3.962,284003,34609,252.379,16.776,8.206,1514.274
49.499,3407631,60,58.440,3.938,284008,34611,253.949,17.111,8.206,1523.696
50.517,3407691,60,58.962,3.941,284013,34610,253.769,16.960,8.206,1522.617
51.523,3407751,60,59.646,3.986,284018,34613,250.881,16.766,8.206,1505.286
52.548,3407811,60,58.502,3.944,284023,34611,253.548,17.094,8.206,1521.286
53.571,3407871,60,58.651,3.915,284028,34613,255.428,17.050,8.206,1532.568
54.681,3407931,60,54.052,3.613,284033,34612,276.808,18.501,8.206,1660.849
55.694,3407991,60,59.260,3.974,284038,34615,251.662,16.875,8.206,1509.972
56.716,3408051,60,58.675,3.893,284043,34614,256.850,17.043,8.206,1541.100
