elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct
1.032,61,60,60.014,60.017,5,1,16.662,16.663,5.000,99.972
2.049,122,60,59.989,59.995,5,1,16.668,16.670,5.000,100.008
4.321,869,600,598.321,59.990,5,1,16.670,1.671,5.000,100.017
12.416,610,600,600.090,60.100,92,8,16.639,1.666,11.500,99.834
13.418,1210,600,598.719,59.432,142,13,16.826,1.670,10.923,100.955
14.432,1820,600,601.329,60.000,181,18,16.667,1.663,10.056,99.999
15.437,2419,600,596.132,59.997,232,25,16.668,1.677,9.280,100.006
16.449,3031,600,604.864,60.211,296,32,16.608,1.653,9.250,99.650
17.449,3631,600,599.978,59.881,346,38,16.700,1.667,9.105,100.198
18.466,4242,600,601.036,60.574,389,45,16.509,1.664,8.644,99.053
19.482,4852,600,599.932,59.995,448,48,16.668,1.667,9.333,100.009
20.483,5452,600,599.623,60.160,498,54,16.622,1.668,9.222,99.734
21.499,6061,600,599.481,60.001,536,59,16.666,1.668,9.085,99.998
22.499,6661,600,600.000,59.541,586,65,16.795,1.667,9.015,100.771
23.516,7272,600,601.002,60.015,647,77,16.662,1.664,8.403,99.975
24.520,7872,600,597.188,59.741,697,82,16.739,1.675,8.500,100.434
25.532,8481,600,601.852,59.996,737,88,16.668,1.662,8.375,100.007
26.535,9081,600,598.563,60.107,787,96,16.637,1.671,8.198,99.822
27.549,9691,600,601.482,59.896,851,100,16.696,1.663,8.510,100.174
28.549,10291,600,599.890,59.998,901,106,16.667,1.667,8.500,100.003
29.565,10901,600,600.103,60.253,943,107,16.597,1.666,8.813,99.580
30.565,11501,600,599.977,59.996,993,112,16.668,1.667,8.866,100.007
31.582,12111,600,600.092,60.557,1048,125,16.513,1.666,8.384,99.080
32.582,12711,600,600.000,59.880,1098,131,16.700,1.667,8.382,100.200
33.584,13312,600,599.665,59.991,1153,137,16.669,1.668,8.416,100.015
34.599,13921,600,599.816,59.996,1191,143,16.668,1.667,8.329,100.007
35.601,14522,600,600.195,60.119,1244,148,16.634,1.666,8.405,99.802
36.615,15131,600,600.311,60.262,1301,155,16.594,1.666,8.394,99.565
37.616,15731,600,599.561,59.999,1351,161,16.667,1.668,8.391,100.002
38.632,16341,600,600.528,60.150,1392,158,16.625,1.665,8.810,99.751
39.649,16951,600,599.424,59.992,1456,173,16.669,1.668,8.416,100.014
40.665,17562,600,601.598,59.756,1499,180,16.735,1.662,8.328,100.408
41.665,18162,600,599.994,60.005,1549,186,16.665,1.667,8.328,99.992
42.682,18772,600,600.062,59.456,1608,183,16.819,1.666,8.787,100.915
43.698,19381,600,598.994,59.998,1646,187,16.667,1.669,8.802,100.004
44.698,19981,600,599.990,59.744,1696,193,16.738,1.667,8.788,100.429
45.699,20581,600,599.426,60.011,1746,200,16.664,1.668,8.730,99.982
46.703,21181,600,597.793,60.116,1796,205,16.635,1.673,8.761,99.808
47.715,21791,600,602.856,60.260,1856,223,16.595,1.659,8.323,99.569
48.715,22391,600,599.987,60.014,1906,231,16.663,1.667,8.251,99.977
49.732,23002,600,600.958,60.273,1952,236,16.591,1.664,8.271,99.547
50.748,23611,600,599.007,60.113,2011,241,16.635,1.669,8.344,99.813
51.749,24211,600,599.484,60.262,2061,248,16.594,1.668,8.310,99.565
52.765,24822,600,601.582,60.025,2104,252,16.660,1.662,8.349,99.958
53.781,25432,600,600.021,59.551,2163,261,16.792,1.667,8.287,100.754
54.798,26041,600,598.778,60.008,2201,265,16.664,1.670,8.306,99.986
55.803,26641,600,597.339,59.745,2251,272,16.738,1.674,8.276,100.426
56.815,27251,600,602.975,59.997,2311,278,16.668,1.658,8.313,100.005
57.817,27852,600,599.610,59.743,2362,270,16.738,1.668,8.748,100.431
58.831,28462,600,601.360,60.002,2407,290,16.666,1.663,8.300,99.996
59.853,29071,600,596.151,60.107,2466,297,16.637,1.677,8.303,99.822
60.864,29681,600,602.989,60.261,2508,303,16.594,1.658,8.277,99.567
61.864,30281,600,599.983,59.903,2558,309,16.694,1.667,8.278,100.162
62.881,30891,600,599.969,60.553,2613,315,16.514,1.667,8.295,99.087
63.882,31491,600,599.481,60.006,2663,321,16.665,1.668,8.296,99.990
64.898,32101,600,600.577,59.911,2706,311,16.691,1.665,8.701,100.149
65.914,32711,600,600.007,59.883,2766,334,16.699,1.667,8.281,100.196
66.914,33311,600,599.997,59.527,2816,340,16.799,1.667,8.282,100.795
67.931,33922,600,600.958,60.004,2862,347,16.666,1.664,8.248,99.993
68.936,34522,600,597.238,59.725,2912,353,16.743,1.674,8.249,100.460
69.948,35131,600,601.875,60.120,2971,358,16.633,1.661,8.299,99.801
70.950,35731,600,598.607,60.091,3021,365,16.641,1.671,8.277,99.849
71.964,36341,600,601.418,59.998,3063,351,16.667,1.663,8.726,100.003
72.981,36951,600,599.990,59.883,3118,378,16.699,1.667,8.249,100.196
73.997,37561,600,600.060,60.571,3161,382,16.510,1.666,8.275,99.058
75.014,38171,600,600.015,60.009,3221,389,16.664,1.667,8.280,99.985
76.031,38781,600,599.968,60.150,3262,375,16.625,1.667,8.699,99.750
77.031,39382,600,600.900,59.999,3317,401,16.667,1.664,8.272,100.002
78.047,39992,600,600.227,59.998,3376,407,16.667,1.666,8.295,100.003
79.047,40592,600,599.982,60.007,3426,414,16.665,1.667,8.275,99.989
80.049,41191,600,597.675,60.005,3476,419,16.665,1.673,8.296,99.991
81.065,41802,600,601.769,60.570,3519,426,16.510,1.662,8.261,99.059
82.069,42402,600,597.712,60.001,3569,432,16.666,1.673,8.262,99.999
83.080,43012,600,602.857,60.277,3628,416,16.590,1.659,8.721,99.540
84.097,43622,600,600.005,60.124,3669,445,16.632,1.667,8.245,99.794
85.097,44221,600,598.998,59.907,3716,427,16.692,1.669,8.703,100.154
86.114,44831,600,600.041,59.995,3776,457,16.668,1.667,8.263,100.009
87.130,45442,600,601.043,59.547,3822,464,16.794,1.664,8.237,100.761
88.147,46051,600,598.995,59.962,3881,470,16.677,1.669,8.257,100.064
89.164,46662,600,600.997,59.727,3924,475,16.743,1.664,8.261,100.457
90.180,47272,600,600.029,60.002,3983,482,16.666,1.667,8.263,99.997
91.183,47872,600,598.588,59.895,4033,488,16.696,1.671,8.264,100.175
92.197,48481,600,600.381,60.564,4071,494,16.512,1.666,8.241,99.069
93.199,49081,600,598.724,59.997,4121,499,16.667,1.670,8.259,100.005
94.214,49692,600,602.280,60.570,4182,480,16.510,1.660,8.713,99.058
95.230,50302,600,600.039,60.008,4227,512,16.664,1.667,8.256,99.986
96.230,50902,600,599.995,60.282,4277,518,16.589,1.667,8.257,99.532
97.247,51511,600,599.070,59.995,4336,524,16.668,1.669,8.275,100.009
98.263,52121,600,600.036,59.528,4378,531,16.799,1.667,8.245,100.793
99.280,52731,600,599.996,60.001,4433,536,16.666,1.667,8.271,99.998
100.297,53341,600,600.029,59.739,4476,515,16.739,1.667,8.691,100.437
101.298,53941,600,599.324,59.884,4526,520,16.699,1.669,8.704,100.194
102.301,54541,600,597.830,60.120,4576,526,16.633,1.673,8.700,99.800
103.313,55151,600,602.860,59.997,4636,562,16.668,1.659,8.249,100.006
104.316,55751,600,598.598,59.996,4686,568,16.668,1.671,8.250,100.006
105.330,56361,600,601.458,60.149,4727,574,16.625,1.663,8.235,99.752
106.347,56971,600,599.423,59.950,4791,581,16.681,1.668,8.246,100.083
107.363,57581,600,600.619,60.265,4833,556,16.593,1.665,8.692,99.560
108.363,58181,600,599.996,59.998,4883,562,16.667,1.667,8.689,100.003
109.380,58791,600,599.995,59.760,4938,599,16.734,1.667,8.244,100.402
110.397,59401,600,599.533,59.995,4981,604,16.668,1.668,8.247,100.009
111.413,60011,600,600.500,59.741,5041,612,16.739,1.665,8.237,100.433
112.431,60621,600,599.469,59.866,5082,585,16.704,1.668,8.687,100.223
113.434,61221,600,597.713,59.733,5132,590,16.741,1.673,8.698,100.447
114.446,61831,600,602.832,59.851,5196,630,16.708,1.659,8.248,100.249
115.449,62431,600,598.674,59.984,5246,636,16.671,1.670,8.248,100.027
116.464,63042,600,601.935,60.269,5289,641,16.592,1.661,8.251,99.554
117.481,63652,600,599.667,59.978,5348,615,16.673,1.668,8.696,100.037
118.496,64262,600,600.630,60.281,5389,653,16.589,1.665,8.253,99.534
