elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct
1.032,61,60,59.999,60.040,5,1,16.656,16.667,5.000,99.934
2.033,121,60,59.927,59.930,5,1,16.686,16.687,5.000,100.117
3.049,182,60,60.014,59.859,5,1,16.706,16.663,5.000,100.236
4.051,242,60,59.883,59.729,5,1,16.742,16.699,5.000,100.454
5.052,302,60,59.958,59.318,5,1,16.858,16.678,5.000,101.150
6.064,362,60,59.305,59.962,5,1,16.677,16.862,5.000,100.063
7.067,423,60,60.809,61.639,5,1,16.224,16.445,5.000,97.341
