elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct,step_ms_per_generation,candidate_build_ms_per_generation,candidate_evaluate_ms_per_generation,row_compute_estimated_ms_per_generation,next_insert_estimated_ms_per_generation,rows_evaluated_per_generation,timing_samples
1.015,60,60,59.980,59.997,5,1,16.668,16.672,5.000,100.005,0.008,0.005,0.002,0.001,0.000,5.150,60
2.031,121,60,60.023,59.930,5,1,16.686,16.660,5.000,100.117,0.012,0.009,0.002,0.001,0.000,5.000,61
3.031,181,60,59.987,59.987,5,1,16.670,16.670,5.000,100.022,0.007,0.004,0.002,0.000,0.000,5.000,60
4.032,241,60,59.974,60.043,5,1,16.655,16.674,5.000,99.929,0.007,0.004,0.002,0.001,0.000,5.000,60
5.048,302,60,60.026,60.001,5,1,16.666,16.659,5.000,99.998,0.007,0.004,0.002,0.001,0.000,6.115,61
6.064,363,60,60.041,59.998,5,1,16.667,16.655,5.000,100.003,0.008,0.005,0.002,0.000,0.000,5.000,61
21.514,60,60,59.006,59.901,32211,146,16.694,16.947,220.623,100.166,0.133,0.025,0.103,0.170,0.031,7136.700,60
22.516,121,60,60.880,59.942,29035,145,16.683,16.426,200.241,100.097,0.133,0.022,0.106,0.145,0.024,7196.951,61
23.530,182,60,60.149,60.109,27338,148,16.636,16.625,184.716,99.819,0.131,0.024,0.102,0.253,0.025,7255.770,61
24.531,242,60,59.954,59.974,26710,153,16.674,16.679,174.575,100.043,0.139,0.023,0.112,0.184,0.025,7329.933,60
25.547,303,60,60.007,60.048,25168,155,16.653,16.665,162.374,99.920,0.144,0.024,0.115,0.141,0.027,7434.016,61
26.564,363,60,59.017,60.190,24561,158,16.614,16.944,155.449,99.684,0.134,0.024,0.102,0.146,0.028,7436.667,60
27.581,424,60,59.972,59.999,24653,161,16.667,16.674,153.124,100.002,0.156,0.028,0.122,0.699,0.038,7525.131,61
28.582,485,60,60.976,59.978,23685,164,16.673,16.400,144.421,100.037,0.147,0.026,0.114,0.154,0.028,7576.361,61
29.597,546,60,60.071,59.901,22701,164,16.694,16.647,138.421,100.165,0.137,0.024,0.108,0.154,0.029,7510.623,61
30.597,605,60,58.994,60.071,22462,168,16.647,16.951,133.702,99.882,0.141,0.025,0.111,0.147,0.030,7539.712,59
31.597,666,60,60.994,59.982,21092,173,16.672,16.395,121.919,100.030,0.162,0.026,0.120,0.144,0.038,7515.623,61
32.614,727,60,60.013,60.153,21832,177,16.624,16.663,123.345,99.746,0.148,0.026,0.116,0.143,0.034,7610.787,61
33.614,786,60,58.976,59.983,21577,178,16.671,16.956,121.219,100.029,0.154,0.028,0.120,0.150,0.038,7719.068,59
34.614,846,60,59.995,59.993,21525,180,16.669,16.668,119.583,100.012,0.153,0.028,0.120,0.156,0.037,7721.117,60
35.614,907,60,60.991,60.109,21014,181,16.636,16.396,116.099,99.818,0.152,0.026,0.120,0.164,0.032,7769.475,61
36.630,968,60,60.060,59.884,20302,184,16.699,16.650,110.337,100.193,0.158,0.029,0.122,0.180,0.102,7797.148,61
37.631,1028,60,59.946,59.968,19869,186,16.676,16.682,106.823,100.053,0.146,0.023,0.115,0.132,0.043,7833.733,60
38.648,1088,60,58.990,59.883,20402,188,16.699,16.952,108.521,100.196,0.150,0.025,0.119,0.150,0.036,7864.367,60
40.847,1127,5,5.000,59.998,20431,190,16.667,200.017,107.532,100.003,0.170,0.036,0.127,0.198,0.405,7878.600,5
41.964,1137,10,9.997,60.087,20724,192,16.642,100.027,107.938,99.855,0.158,0.028,0.124,0.933,0.054,7933.900,10
42.981,1147,10,9.832,60.043,20878,189,16.655,101.712,110.466,99.928,0.140,0.025,0.109,0.168,0.038,7921.200,10
43.983,1157,10,9.973,59.873,20697,191,16.702,100.267,108.361,100.212,0.143,0.026,0.111,0.167,0.036,7934.300,10
44.997,1167,10,9.862,59.997,21072,191,16.668,101.402,110.325,100.005,0.144,0.028,0.110,0.169,0.038,7959.900,10
46.014,1177,10,9.840,60.058,20687,191,16.651,101.627,108.309,99.904,0.140,0.025,0.109,0.160,0.040,7947.000,10
47.031,1187,10,9.833,60.086,20844,189,16.643,101.694,110.286,99.856,0.144,0.028,0.110,0.181,0.031,7933.000,10
48.031,1197,10,9.998,60.053,20566,189,16.652,100.025,108.815,99.912,0.148,0.028,0.114,0.194,0.046,7925.500,10
49.047,1208,10,10.825,60.091,20398,191,16.641,92.382,106.796,99.849,0.145,0.029,0.110,0.170,0.042,7947.364,11
50.063,1218,10,9.840,60.057,20477,191,16.651,101.626,107.209,99.905,0.161,0.030,0.124,0.173,0.031,7933.900,10
51.064,1228,10,9.997,59.921,20223,193,16.689,100.025,104.782,100.132,0.181,0.030,0.145,0.165,0.031,7921.600,10
52.081,1238,10,9.824,60.060,20430,194,16.650,101.788,105.309,99.901,0.173,0.025,0.143,0.180,0.035,7916.200,10
53.097,1248,10,9.849,60.139,20461,193,16.628,101.534,106.016,99.769,0.142,0.027,0.110,0.164,0.037,7918.900,10
54.114,1258,10,9.833,59.965,20462,192,16.676,101.699,106.573,100.058,0.143,0.026,0.111,0.181,0.041,7903.700,10
55.114,1268,10,9.997,59.893,20300,192,16.697,100.033,105.729,100.179,0.166,0.027,0.133,0.194,0.039,7887.500,10
56.131,1278,10,9.835,59.950,20283,191,16.681,101.679,106.194,100.084,0.141,0.026,0.110,0.178,0.040,7882.900,10
57.147,1288,10,9.844,59.974,20488,192,16.674,101.585,106.708,100.043,0.144,0.028,0.111,0.166,0.035,7900.800,10
58.147,1299,10,10.995,59.823,20031,194,16.716,90.950,103.253,100.296,0.141,0.026,0.109,0.168,0.039,7901.091,11
59.163,1309,10,9.846,60.000,20244,195,16.667,101.565,103.815,100.001,0.174,0.026,0.142,0.185,0.030,7910.000,10
60.164,1319,10,9.992,59.900,19984,194,16.695,100.083,103.010,100.167,0.142,0.028,0.109,0.151,0.037,7911.700,10
61.181,1329,10,9.834,59.992,20283,194,16.669,101.691,104.552,100.013,0.142,0.026,0.111,0.152,0.039,7904.700,10
67.413,10,10,9.836,59.951,27,1,16.680,101.668,27.000,100.081,0.008,0.004,0.002,0.001,0.000,14.600,10
68.413,20,10,9.997,60.122,64,1,16.633,100.034,64.000,99.796,0.008,0.004,0.002,0.001,0.000,20.900,10
69.414,30,10,9.999,59.949,50,1,16.681,100.013,50.000,100.084,0.008,0.004,0.002,0.001,0.000,22.600,10
70.430,40,10,9.843,59.909,56,1,16.692,101.594,56.000,100.152,0.008,0.004,0.002,0.001,0.000,22.800,10
71.430,50,10,9.998,59.992,86,1,16.669,100.018,86.000,100.014,0.008,0.004,0.002,0.001,0.000,24.000,10
72.430,60,10,9.998,59.947,80,1,16.681,100.020,80.000,100.088,0.008,0.004,0.002,0.001,0.000,28.500,10
73.446,70,10,9.843,59.990,157,1,16.670,101.600,157.000,100.017,0.008,0.004,0.002,0.001,0.000,34.100,10
74.446,80,10,9.997,59.981,114,1,16.672,100.034,114.000,100.031,0.008,0.005,0.002,0.001,0.000,38.900,10
75.462,90,10,9.842,60.075,126,1,16.646,101.610,126.000,99.875,0.008,0.005,0.002,0.001,0.000,40.600,10
76.462,100,10,9.999,59.996,144,2,16.668,100.009,72.000,100.007,0.008,0.004,0.002,0.002,0.000,48.800,10
77.480,110,10,9.824,59.974,177,2,16.674,101.794,88.500,100.043,0.009,0.005,0.003,0.002,0.000,56.400,10
78.496,120,10,9.850,59.903,306,3,16.694,101.525,102.000,100.162,0.008,0.004,0.003,0.003,0.000,70.900,10
79.496,130,10,9.999,59.998,270,3,16.667,100.010,90.000,100.003,0.008,0.004,0.004,0.003,0.001,83.500,10
80.513,141,10,10.811,59.924,271,3,16.688,92.498,90.333,100.126,0.007,0.003,0.003,0.003,0.001,89.091,11
81.530,151,10,9.838,59.970,300,3,16.675,101.646,100.000,100.050,0.009,0.005,0.004,0.003,0.001,86.200,10
82.546,161,10,9.842,60.087,296,3,16.643,101.610,98.667,99.856,0.010,0.006,0.003,0.003,0.000,84.700,10
83.546,171,10,9.999,60.035,271,3,16.657,100.015,90.333,99.942,0.009,0.005,0.003,0.003,0.001,87.900,10
84.563,181,10,9.837,59.892,244,5,16.697,101.661,48.800,100.181,0.010,0.004,0.006,0.016,0.001,93.500,10
85.579,191,10,9.839,59.885,280,4,16.699,101.637,70.000,100.192,0.010,0.005,0.004,0.005,0.001,95.600,10
86.579,201,10,9.999,59.899,217,4,16.695,100.007,54.250,100.168,0.009,0.004,0.004,0.005,0.001,90.000,10
87.580,211,10,9.995,59.995,262,4,16.668,100.055,65.500,100.009,0.008,0.004,0.004,0.004,0.001,89.900,10
88.595,221,10,9.843,60.095,275,5,16.640,101.594,55.000,99.841,0.012,0.005,0.006,0.014,0.001,96.600,10
89.613,232,10,10.813,59.874,263,6,16.702,92.478,43.833,100.210,0.010,0.005,0.004,0.006,0.001,102.091,11
90.629,242,10,9.843,59.928,248,6,16.687,101.599,41.333,100.120,0.011,0.005,0.004,0.007,0.001,107.400,10
91.629,252,10,10.000,60.087,241,6,16.642,100.003,40.167,99.854,0.017,0.007,0.005,0.007,0.001,115.100,10
92.629,262,10,9.999,59.830,260,6,16.714,100.011,43.333,100.283,0.012,0.005,0.005,0.007,0.001,123.700,10
93.630,272,10,9.993,59.898,276,6,16.695,100.069,46.000,100.171,0.011,0.005,0.005,0.007,0.001,126.100,10
94.646,282,10,9.842,59.997,306,6,16.668,101.607,51.000,100.005,0.011,0.005,0.004,0.007,0.001,141.100,10
95.662,292,10,9.839,59.979,338,6,16.673,101.641,56.333,100.035,0.012,0.005,0.005,0.008,0.001,140.000,10
96.680,302,10,9.825,60.114,413,6,16.635,101.779,68.833,99.810,0.011,0.005,0.005,0.008,0.001,145.900,10
97.696,312,10,9.843,60.092,432,6,16.641,101.590,72.000,99.848,0.011,0.005,0.005,0.007,0.001,148.300,10
98.713,323,10,10.817,59.931,486,6,16.686,92.448,81.000,100.114,0.011,0.005,0.004,0.007,0.001,155.273,11
99.728,333,10,9.844,59.959,365,6,16.678,101.580,60.833,100.068,0.012,0.005,0.005,0.008,0.001,159.500,10
100.728,343,10,10.000,59.984,433,6,16.671,100.001,72.167,100.027,0.012,0.005,0.005,0.007,0.001,158.400,10
101.729,353,10,9.997,59.924,415,6,16.688,100.027,69.167,100.127,0.013,0.005,0.006,0.007,0.001,153.200,10
102.729,363,10,9.994,60.043,430,6,16.655,100.061,71.667,99.929,0.011,0.005,0.005,0.007,0.001,150.800,10
103.745,373,10,9.841,59.944,412,6,16.682,101.612,68.667,100.093,0.012,0.005,0.006,0.007,0.001,156.700,10
104.745,383,10,10.000,60.167,420,6,16.620,100.001,70.000,99.722,0.011,0.005,0.005,0.007,0.001,153.500,10
105.762,393,10,9.839,59.976,454,6,16.673,101.632,75.667,100.040,0.012,0.006,0.005,0.007,0.001,158.000,10
106.778,403,10,9.836,59.880,481,6,16.700,101.665,80.167,100.200,0.012,0.005,0.005,0.008,0.001,163.500,10
107.779,413,10,9.993,60.050,463,6,16.653,100.071,77.167,99.916,0.011,0.005,0.005,0.008,0.001,160.600,10
108.795,423,10,9.846,60.063,471,6,16.649,101.567,78.500,99.896,0.011,0.005,0.005,0.007,0.001,158.200,10
109.812,434,10,10.810,59.933,470,8,16.685,92.511,58.750,100.111,0.011,0.005,0.005,0.009,0.001,154.545,11
110.812,444,10,10.000,60.172,466,7,16.619,100.001,66.571,99.714,0.014,0.006,0.007,0.013,0.002,165.200,10
111.828,454,10,9.846,60.059,511,6,16.650,101.561,85.167,99.902,0.012,0.005,0.005,0.009,0.001,161.800,10
112.828,464,10,9.997,59.991,534,6,16.669,100.027,89.000,100.015,0.014,0.006,0.006,0.009,0.001,168.100,10
113.845,474,10,9.838,60.097,564,7,16.640,101.650,80.571,99.839,0.012,0.005,0.005,0.009,0.001,180.800,10
114.845,484,10,10.000,59.991,603,7,16.669,100.002,86.143,100.015,0.013,0.006,0.006,0.009,0.001,189.100,10
115.861,494,10,9.842,59.991,596,7,16.669,101.610,85.143,100.014,0.012,0.005,0.005,0.008,0.001,193.100,10
116.861,504,10,9.998,59.979,606,7,16.672,100.018,86.571,100.034,0.012,0.005,0.005,0.008,0.001,190.500,10
117.878,514,10,9.832,60.105,626,7,16.638,101.705,89.429,99.825,0.012,0.005,0.005,0.008,0.001,190.300,10
118.894,524,10,9.840,60.090,639,7,16.642,101.630,91.286,99.851,0.013,0.006,0.006,0.009,0.002,193.700,10
119.894,534,10,10.000,59.937,670,7,16.684,100.002,95.714,100.105,0.012,0.005,0.005,0.009,0.001,188.600,10
120.895,544,10,9.998,60.143,666,8,16.627,100.018,83.250,99.762,0.012,0.005,0.006,0.009,0.001,196.600,10
121.895,554,10,9.999,59.959,593,8,16.678,100.010,74.125,100.068,0.014,0.006,0.005,0.010,0.002,203.800,10
122.895,564,10,9.999,59.958,674,8,16.678,100.013,84.250,100.070,0.012,0.005,0.005,0.009,0.001,205.800,10
123.913,575,10,10.808,59.983,712,8,16.672,92.522,89.000,100.029,0.014,0.006,0.006,0.011,0.002,209.091,11
124.928,585,10,9.852,60.064,632,8,16.649,101.498,79.000,99.893,0.013,0.005,0.006,0.010,0.002,213.300,10
125.928,595,10,10.000,60.066,497,7,16.648,100.003,71.000,99.891,0.013,0.006,0.005,0.009,0.001,197.500,10
