elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct
1.031,61,60,60.048,60.076,5,1,16.645,16.653,5.000,99.873
7.840,3405355,60,38.494,4.730,283812,34588,211.432,25.978,8.206,1268.594
9.121,3405415,60,46.830,3.242,283817,34588,308.488,21.354,8.206,1850.926
10.282,3405475,60,51.680,3.505,283822,34590,285.294,19.350,8.205,1711.766
11.532,3405535,60,48.024,3.147,283827,34588,317.747,20.823,8.206,1906.480
12.835,3405595,60,46.029,3.010,283832,34590,332.258,21.725,8.206,1993.549
14.137,3405655,60,46.090,3.090,283837,34590,323.677,21.697,8.206,1942.061
15.141,3405700,60,44.822,2.976,283845,32817,336.045,22.310,8.649,2016.268
16.154,3405745,60,44.444,2.906,283846,34591,344.117,22.500,8.206,2064.700
