elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct,step_ms_per_generation,step_ms_per_frame,board_render_ms_per_frame,work_ms_per_frame,generations_executed,candidate_build_ms_per_generation,candidate_evaluate_ms_per_generation,candidates_per_generation,rows_evaluated_per_generation,neighborhood_lookup_estimated_ms_per_generation,row_update_and_next_estimated_ms_per_generation,lookup_samples
60.084,3406938,60,33.662,2.254,283945,34603,443.696,29.707,8.206,2662.177,29.637,444.562,0.024,445.571,45,4.564,22.648,35904.578,298952.489,0.000,22.648,0
61.443,3406983,60,33.106,2.186,283954,34604,457.392,30.206,8.206,2744.352,30.134,452.014,0.026,453.010,45,4.650,22.935,35983.844,299032.422,0.000,22.935,0
62.771,3407028,60,33.878,2.251,283953,32830,444.200,29.518,8.649,2665.202,29.442,441.627,0.025,442.581,45,4.563,22.440,35905.800,299037.622,0.000,22.440,0
64.126,3407073,60,33.216,2.247,283962,34603,445.060,30.106,8.206,2670.361,30.040,450.606,0.025,451.546,45,4.629,22.884,35945.089,298964.178,0.000,22.884,0
65.470,3407118,60,33.480,2.245,283960,34605,445.360,29.868,8.206,2672.159,29.794,446.904,0.024,447.895,45,4.568,22.745,35944.711,299082.178,0.000,22.745,0
66.807,3407163,60,33.658,2.241,283969,34604,446.258,29.711,8.206,2677.549,29.642,444.635,0.024,445.626,45,4.575,22.583,35906.511,299010.356,0.000,22.583,0
68.150,3407208,60,33.510,2.229,283968,34606,448.623,29.842,8.206,2691.737,29.774,446.612,0.025,447.589,45,4.571,22.693,35986.400,299015.978,0.000,22.693,0
69.477,3407253,60,33.893,2.256,283977,32832,443.176,29.505,8.649,2659.056,29.440,441.594,0.024,442.535,45,4.556,22.441,35907.867,299095.400,0.000,22.441,0
70.820,3407298,60,33.518,2.226,283975,34606,449.333,29.835,8.206,2695.998,29.761,446.414,0.029,447.408,45,4.540,22.734,35908.778,298984.000,0.000,22.734,0
72.159,3407343,60,33.600,2.234,283984,34606,447.547,29.762,8.206,2685.283,29.696,445.446,0.025,446.395,45,4.584,22.651,35986.822,299063.933,0.000,22.651,0
73.497,3407388,60,33.632,2.241,283983,32833,446.216,29.734,8.649,2677.299,29.666,444.991,0.024,445.970,45,4.567,22.686,35908.244,299067.622,0.000,22.686,0
74.836,3407433,60,33.612,2.239,283992,34607,446.590,29.751,8.206,2679.539,29.689,445.342,0.025,446.230,45,4.563,22.675,35949.400,298997.200,0.000,22.675,0
76.172,3407478,60,33.686,2.258,283990,34609,442.854,29.686,8.206,2657.125,29.615,444.225,0.024,445.251,45,4.541,22.592,35949.556,299115.200,0.000,22.592,0
77.504,3407523,60,33.776,2.238,283999,34609,446.914,29.607,8.206,2681.485,29.513,442.696,0.025,443.638,45,4.541,22.537,35910.822,299040.356,0.000,22.537,0
78.842,3407568,60,33.637,2.251,283998,34609,444.187,29.729,8.206,2665.121,29.632,444.480,0.026,445.443,45,4.570,22.622,35990.178,299047.489,0.000,22.622,0
80.184,3407613,60,33.542,2.233,284007,32834,447.766,29.814,8.650,2686.596,29.718,445.765,0.026,446.727,45,4.594,22.643,35910.400,299126.911,0.000,22.643,0
81.522,3407658,60,33.621,2.244,284005,34610,445.598,29.743,8.206,2673.587,29.643,444.650,0.024,445.647,45,4.552,22.691,35911.844,299014.156,0.000,22.691,0
82.868,3407703,60,33.439,2.240,284014,34611,446.470,29.905,8.206,2678.820,29.829,447.432,0.029,448.352,45,4.586,22.757,35991.422,299097.467,0.000,22.757,0
84.205,3407748,60,33.654,2.259,284013,32837,442.582,29.715,8.649,2655.494,29.620,444.299,0.024,445.275,45,4.577,22.641,35912.800,299099.978,0.000,22.641,0
85.549,3407793,60,33.480,2.236,284022,34611,447.259,29.869,8.206,2683.557,29.775,446.626,0.025,447.570,45,4.545,22.742,35953.711,299027.267,0.000,22.742,0
86.878,3407838,60,33.873,2.261,284020,34612,442.336,29.522,8.206,2654.014,29.432,441.474,0.025,442.430,45,4.521,22.491,35953.022,299147.200,0.000,22.491,0
88.231,3407883,60,33.256,2.201,284029,34611,454.282,30.070,8.206,2725.693,29.989,449.842,0.025,450.804,45,4.593,22.861,35913.067,299071.311,0.000,22.861,0
89.563,3407928,60,33.786,2.246,284028,34612,445.156,29.598,8.206,2670.934,29.493,442.396,0.026,443.456,45,4.549,22.490,35993.844,299079.000,0.000,22.490,0
90.949,3407973,60,32.462,2.157,284037,32839,463.714,30.806,8.649,2782.282,30.708,460.624,0.030,461.592,45,4.685,23.403,35915.311,299160.378,0.000,23.403,0
92.279,3408018,60,33.827,2.249,284035,34614,444.607,29.562,8.206,2667.643,29.463,441.943,0.025,443.020,45,4.535,22.492,35916.089,299045.222,0.000,22.492,0
93.617,3408063,60,33.651,2.252,284044,34614,444.049,29.717,8.206,2664.291,29.624,444.367,0.026,445.325,45,4.551,22.648,35995.733,299128.911,0.000,22.648,0
