elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct,step_ms_per_generation,step_ms_per_frame,board_render_ms_per_frame,work_ms_per_frame,generations_executed,candidate_build_ms_per_generation,candidate_evaluate_ms_per_generation,candidates_per_generation,rows_evaluated_per_generation,neighborhood_lookup_estimated_ms_per_generation,row_update_and_next_estimated_ms_per_generation,lookup_samples
1.032,61,60,60.019,59.988,5,1,16.670,16.661,5.000,100.019,0.005,0.005,0.004,13.857,61,0.003,0.002,1.066,5.148,0.000,0.002,0
11.108,3405333,60,26.704,2.311,283817,32813,432.763,37.448,8.650,2596.576,36.138,216.830,0.029,217.771,30,4.707,27.078,35886.700,298927.900,0.000,27.078,0
12.133,3405363,60,29.288,1.898,283819,34586,526.978,34.143,8.206,3161.867,34.048,510.717,0.024,511.655,30,4.651,25.529,35887.767,298812.800,0.000,25.529,0
13.473,3405408,60,33.564,2.244,283818,34586,445.691,29.794,8.206,2674.147,29.723,445.847,0.026,446.851,45,4.606,22.682,35967.333,298858.222,0.000,22.682,0
14.839,3405453,60,32.950,2.225,283827,32815,449.447,30.349,8.649,2696.682,30.281,454.211,0.024,455.190,45,4.623,22.920,35888.844,298937.644,0.000,22.920,0
16.244,3405498,60,32.019,2.136,283825,34588,468.167,31.232,8.206,2809.004,31.166,467.497,0.024,468.409,45,4.615,23.596,35889.933,298825.689,0.000,23.596,0
17.661,3405543,60,31.756,2.110,283834,34587,473.834,31.490,8.206,2843.006,31.423,471.343,0.024,472.302,45,4.645,23.715,35968.044,298906.711,0.000,23.715,0
19.078,3405588,60,31.758,2.124,283833,32816,470.890,31.488,8.649,2825.341,31.422,471.333,0.025,472.283,45,4.673,23.762,35889.067,298909.178,0.000,23.762,0
20.490,3405633,60,31.877,2.117,283842,34589,472.437,31.371,8.206,2834.619,31.295,469.418,0.025,470.483,45,4.616,23.588,35930.333,298838.800,0.000,23.588,0
21.926,3405678,60,31.333,2.067,283840,34590,483.788,31.915,8.206,2902.730,31.846,477.693,0.025,478.675,45,4.712,24.030,35930.622,298957.978,0.000,24.030,0
23.338,3405723,60,31.877,2.127,283849,34591,470.114,31.370,8.206,2820.683,31.301,469.520,0.024,470.469,45,4.602,23.682,35891.689,298882.000,0.000,23.682,0
24.753,3405768,60,31.801,2.119,283848,34590,471.985,31.445,8.206,2831.913,31.380,470.702,0.026,471.639,45,4.598,23.750,35971.400,298889.733,0.000,23.750,0
26.174,3405813,60,31.665,2.109,283857,32817,474.107,31.580,8.650,2844.642,31.512,472.687,0.025,473.646,45,4.619,23.831,35891.556,298969.156,0.000,23.831,0
27.592,3405858,60,31.728,2.111,283855,34592,473.632,31.518,8.206,2841.794,31.435,471.527,0.030,472.723,45,4.666,23.809,35892.644,298855.689,0.000,23.809,0
28.994,3405903,60,32.094,2.142,283864,34592,466.812,31.158,8.206,2800.873,31.091,466.370,0.024,467.334,45,4.675,23.500,35972.467,298939.733,0.000,23.500,0
30.381,3405948,60,32.446,2.173,283863,32820,460.257,30.820,8.649,2761.545,30.742,461.133,0.024,462.190,45,4.580,23.368,35893.800,298942.200,0.000,23.368,0
31.754,3405993,60,32.774,2.181,283872,34593,458.440,30.512,8.206,2750.638,30.441,456.618,0.024,457.627,45,4.624,23.085,35934.644,298868.800,0.000,23.085,0
33.118,3406038,60,33.007,2.217,283870,34593,451.107,30.297,8.206,2706.642,30.226,453.393,0.025,454.416,45,4.552,22.967,35934.267,298989.489,0.000,22.967,0
34.465,3406083,60,33.403,2.224,283879,34593,449.580,29.938,8.206,2697.481,29.864,447.960,0.024,449.018,45,4.561,22.736,35894.089,298913.511,0.000,22.736,0
35.824,3406128,60,33.107,2.201,283878,34594,454.404,30.205,8.206,2726.424,30.135,452.024,0.025,452.968,45,4.622,22.908,35974.733,298920.511,0.000,22.908,0
37.185,3406173,60,33.074,2.217,283887,32821,450.960,30.236,8.650,2705.760,30.157,452.361,0.025,453.433,45,4.601,22.921,35896.289,299002.711,0.000,22.921,0
38.588,3406218,60,32.072,2.236,283885,34596,447.290,31.180,8.206,2683.738,31.114,466.709,0.025,467.656,45,4.818,23.559,35897.067,298887.400,0.000,23.559,0
39.919,3406263,60,33.817,2.255,283894,34596,443.381,29.571,8.206,2660.287,29.505,442.574,0.024,443.529,45,4.573,22.454,35976.778,298970.400,0.000,22.454,0
41.264,3406308,60,33.457,2.240,283893,32822,446.344,29.889,8.649,2678.066,29.819,447.279,0.023,448.304,45,4.565,22.748,35897.133,298974.244,0.000,22.748,0
42.617,3406353,60,33.260,2.206,283902,34596,453.391,30.066,8.206,2720.344,29.994,449.904,0.025,450.865,45,4.603,22.824,35936.889,298899.111,0.000,22.824,0
43.957,3406398,60,33.560,2.238,283900,34598,446.804,29.797,8.206,2680.821,29.722,445.831,0.026,446.918,45,4.637,22.629,35938.156,299021.556,0.000,22.629,0
45.319,3406443,60,33.050,2.211,283909,34598,452.271,30.257,8.206,2713.629,30.192,452.886,0.024,453.813,45,4.662,23.012,35899.044,298947.089,0.000,23.012,0
46.665,3406488,60,33.422,2.232,283908,34599,448.117,29.920,8.206,2688.704,29.853,447.799,0.026,448.765,45,4.631,22.704,35978.978,298950.911,0.000,22.704,0
48.007,3406533,60,33.550,2.230,283917,32824,448.450,29.806,8.650,2690.702,29.740,446.101,0.030,447.051,45,4.636,22.617,35900.422,299034.222,0.000,22.617,0
49.339,3406578,60,33.782,2.255,283915,34598,443.381,29.601,8.206,2660.287,29.538,443.067,0.024,443.972,45,4.540,22.541,35899.911,298918.911,0.000,22.541,0
50.676,3406623,60,33.643,2.240,283924,34600,446.336,29.724,8.206,2678.018,29.655,444.832,0.025,445.821,45,4.571,22.622,35979.356,299000.400,0.000,22.622,0
52.014,3406668,60,33.644,2.233,283923,32826,447.872,29.723,8.649,2687.231,29.649,444.738,0.031,445.804,45,4.540,22.595,35901.489,299007.267,0.000,22.595,0
53.372,3406713,60,33.123,2.201,283932,34600,454.259,30.190,8.206,2725.553,30.126,451.886,0.026,452.818,45,4.629,22.980,35941.689,298932.133,0.000,22.980,0
54.714,3406758,60,33.539,2.232,283930,34602,448.030,29.816,8.206,2688.178,29.737,446.048,0.033,447.121,45,4.591,22.691,35942.467,299051.556,0.000,22.691,0
56.057,3406803,60,33.516,2.221,283939,34601,450.149,29.837,8.206,2700.893,29.766,446.492,0.024,447.515,45,4.611,22.709,35902.756,298978.600,0.000,22.709,0
57.395,3406848,60,33.615,2.235,283938,34601,447.519,29.749,8.206,2685.112,29.684,445.259,0.025,446.191,45,4.611,22.604,35981.444,298982.422,0.000,22.604,0
58.747,3406893,60,33.303,2.212,283947,32828,452.031,30.028,8.650,2712.187,29.955,449.331,0.026,450.362,45,4.623,22.845,35903.622,299064.667,0.000,22.845,0
