elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct,candidates,candidate_capacity,old_candidate_reserve,candidate_index_capacity,candidate_vector_growths
1.014,60,60,59.997,60.242,5,1,16.600,16.668,5.000,99.599,1,80000,18,16,0
10.401,3405362,60,45.577,4.979,283814,34586,200.857,21.941,8.206,1205.141,34586,80000,69188,262144,0
11.410,3405422,60,59.447,3.949,283819,34587,253.243,16.822,8.206,1519.457,36362,80000,65644,262144,0
12.502,3405482,60,54.974,3.551,283824,34588,281.649,18.190,8.206,1689.895,34588,80000,69192,262144,0
13.594,3405542,60,54.922,3.668,283829,34587,272.634,18.208,8.206,1635.803,36362,80000,65644,262144,0
14.712,3405602,60,53.648,3.620,283834,34589,276.263,18.640,8.206,1657.577,34589,80000,69194,262144,0
15.824,3405662,60,53.976,3.590,283839,34589,278.547,18.527,8.206,1671.281,36364,80000,65648,262144,0
16.933,3405722,60,54.121,3.619,283844,34591,276.316,18.477,8.206,1657.897,34591,80000,69198,262144,0
18.076,3405782,60,52.458,3.542,283849,34590,282.295,19.063,8.206,1693.768,36365,80000,65650,262144,0
19.209,3405842,60,52.959,3.602,283854,34591,277.641,18.883,8.206,1665.849,34591,80000,69198,262144,0
20.305,3405902,60,54.757,3.640,283859,34592,274.749,18.263,8.206,1648.492,36367,80000,65652,262144,0
21.388,3405962,60,55.385,3.659,283864,34593,273.288,18.055,8.206,1639.729,34593,80000,69202,262144,0
22.534,3406022,60,52.383,3.563,283869,34593,280.648,19.090,8.206,1683.888,36368,80000,65654,262144,0
23.688,3406082,60,51.972,3.342,283874,34593,299.190,19.241,8.206,1795.139,34593,80000,69202,262144,0
24.852,3406142,60,51.574,3.551,283879,34595,281.636,19.390,8.206,1689.817,36370,80000,65658,262144,0
25.941,3406202,60,55.094,3.681,283884,34595,271.654,18.151,8.206,1629.927,34595,80000,69206,262144,0
27.022,3406262,60,55.470,3.738,283889,34596,267.510,18.028,8.206,1605.062,36371,80000,65660,262144,0
28.085,3406322,60,56.488,3.764,283894,34595,265.706,17.703,8.206,1594.237,34595,80000,69206,262144,0
29.159,3406382,60,55.859,3.782,283899,34597,264.394,17.902,8.206,1586.363,36372,80000,65662,262144,0
30.217,3406442,60,56.697,3.795,283904,34598,263.514,17.637,8.206,1581.084,34598,80000,69212,262144,0
31.294,3406502,60,55.695,3.743,283909,34599,267.177,17.955,8.206,1603.060,36374,80000,65666,262144,0
32.360,3406562,60,56.297,3.798,283914,34598,263.271,17.763,8.206,1579.627,34598,80000,69212,262144,0
33.415,3406622,60,56.892,3.805,283919,34600,262.825,17.577,8.206,1576.951,36375,80000,65666,262144,0
34.513,3406682,60,54.632,3.518,283924,34600,284.246,18.304,8.206,1705.477,34600,80000,69216,262144,0
35.536,3406742,60,58.653,3.871,283929,34602,258.321,17.049,8.206,1549.929,36377,80000,65670,262144,0
36.538,3406802,60,59.901,4.015,283934,34601,249.086,16.694,8.206,1494.518,34601,80000,69218,262144,0
37.549,3406862,60,59.330,3.960,283939,34602,252.550,16.855,8.206,1515.298,36377,80000,65670,262144,0
38.559,3406922,60,59.374,3.969,283944,34602,251.924,16.842,8.206,1511.543,34602,80000,69220,262144,0
39.562,3406982,60,59.862,3.951,283949,34604,253.098,16.705,8.206,1518.590,36379,80000,65674,262144,0
40.736,3407053,60,60.461,4.306,283961,32830,232.238,16.540,8.649,1393.426,36379,80000,65676,262144,0
41.928,3407124,60,59.577,4.135,283968,32830,241.823,16.785,8.650,1450.937,36379,80000,69226,262144,0
43.137,3407197,60,60.364,4.085,283966,32830,244.786,16.566,8.650,1468.719,36380,80000,65676,262144,0
44.282,3407266,60,60.243,4.361,283983,34607,229.296,16.599,8.206,1375.776,34607,80000,69230,262144,0
45.402,3407333,60,59.838,4.563,283979,32831,219.159,16.712,8.650,1314.957,36381,80000,65678,262144,0
46.523,3407401,60,60.649,4.350,283981,34607,229.865,16.488,8.206,1379.191,34607,80000,69230,262144,0
47.603,3407466,60,60.213,4.621,283994,34609,216.400,16.608,8.206,1298.400,34610,80000,69234,262144,0
48.658,3407530,60,60.634,4.802,284002,34610,208.262,16.492,8.206,1249.575,34611,80000,69236,262144,0
49.852,3407602,60,60.326,5.039,284002,34609,198.467,16.577,8.206,1190.799,34609,80000,69234,262144,0
51.048,3407674,60,60.197,5.052,284010,34609,197.924,16.612,8.206,1187.546,34611,80000,69234,262144,0
52.174,3407742,60,60.394,5.299,284014,34611,188.718,16.558,8.206,1132.306,36386,80000,65690,262144,0
53.258,3407808,60,60.851,5.572,284018,34611,179.453,16.434,8.206,1076.720,36387,80000,69238,262144,0
54.417,3407878,60,60.441,6.062,284024,34611,164.954,16.545,8.206,989.725,36387,80000,65692,262144,0
55.519,3407945,60,60.756,6.270,284046,34613,159.486,16.459,8.206,956.917,34614,80000,69242,262144,0
56.542,3408007,60,60.620,6.757,284039,34615,148.000,16.496,8.206,887.998,36391,80000,69246,262144,0
57.608,3408071,60,60.050,7.535,284046,34613,132.716,16.653,8.206,796.293,36390,80000,69242,262144,0
58.661,3408135,60,60.774,7.553,284050,34614,132.396,16.454,8.206,794.374,36390,80000,69244,262144,0
59.700,3408198,60,60.652,8.667,284050,34616,115.377,16.487,8.206,692.263,36391,80000,65698,262144,0
60.726,3408260,60,60.412,8.577,284051,32841,116.586,16.553,8.649,699.517,36393,80000,69248,262144,0
61.816,3408326,60,60.574,10.101,284066,34616,99.004,16.509,8.206,594.021,36392,80000,65698,262144,0
62.863,3408389,60,60.135,10.683,284078,32842,93.609,16.629,8.650,561.652,36392,80000,65700,262144,0
63.887,3408451,60,60.550,12.045,284081,34618,83.025,16.515,8.206,498.147,36394,80000,69252,262144,0
64.970,3408516,60,60.029,12.028,284079,32843,83.138,16.659,8.650,498.827,36395,80000,69252,262144,0
66.052,3408581,60,60.086,11.877,284083,32844,84.197,16.643,8.649,505.183,36395,80000,65704,262144,0
67.089,3408644,60,60.730,14.280,284094,32844,70.029,16.466,8.650,420.174,36395,80000,69254,262144,0
68.147,3408708,60,60.492,15.169,284093,32846,65.925,16.531,8.649,395.550,36397,80000,69258,262144,0
69.165,3408769,60,59.911,16.288,284100,34621,61.396,16.691,8.206,368.378,34622,80000,69258,262144,0
70.172,3408829,60,59.573,14.851,284105,32847,67.335,16.786,8.649,404.012,36398,80000,65710,262144,0
71.175,3408889,60,59.821,14.974,284110,34621,66.782,16.717,8.206,400.691,34622,80000,69258,262144,0
72.180,3408949,60,59.747,14.852,284115,32848,67.333,16.737,8.649,403.999,36399,80000,65712,262144,0
73.191,3409010,60,60.294,12.061,284121,34623,82.912,16.585,8.206,497.470,34624,80000,69262,262144,0
74.195,3409070,60,59.768,15.039,284126,34626,66.494,16.731,8.206,398.961,36401,80000,65716,262144,0
75.242,3409133,60,60.187,14.258,284129,32848,70.136,16.615,8.650,420.817,36400,80000,65712,262144,0
76.304,3409197,60,60.267,15.069,284131,32851,66.363,16.593,8.649,398.178,36402,80000,65718,262144,0
77.371,3409261,60,59.955,15.005,284136,32851,66.646,16.679,8.649,399.878,36403,80000,65718,262144,0
78.376,3409321,60,59.716,14.929,284141,34627,66.986,16.746,8.206,401.913,34627,80000,69270,262144,0
79.420,3409383,60,59.401,13.880,284154,34626,72.049,16.835,8.206,432.292,36403,80000,69268,262144,0
80.502,3409448,60,60.067,11.976,284162,34629,83.497,16.648,8.206,500.985,36406,80000,69274,262144,0
81.564,3409512,60,60.296,12.037,284167,34629,83.075,16.585,8.206,498.448,36406,80000,69274,262144,0
82.610,3409575,60,60.205,14.243,284170,34630,70.212,16.610,8.206,421.273,36407,80000,69276,262144,0
83.627,3409636,60,59.989,14.662,284171,32854,68.203,16.670,8.650,409.216,36405,80000,69276,262144,0
84.662,3409698,60,59.893,14.025,284175,34631,71.303,16.696,8.206,427.817,34632,80000,69278,262144,0
85.676,3409759,60,60.174,15.033,284177,34631,66.519,16.618,8.206,399.116,36407,80000,69278,262144,0
86.676,3409819,60,59.954,14.902,284182,34633,67.106,16.680,8.206,402.637,36410,80000,69282,262144,0
87.742,3409883,60,60.090,14.959,284190,34632,66.851,16.642,8.206,401.103,36408,80000,69280,262144,0
88.798,3409947,60,60.573,15.137,284199,34633,66.061,16.509,8.206,396.367,36410,80000,69282,262144,0
89.809,3410008,60,60.370,20.090,284205,34634,49.776,16.565,8.206,298.656,36410,80000,69284,262144,0
90.809,3410068,60,59.985,19.874,284210,32859,50.317,16.671,8.649,301.904,36412,80000,69286,262144,0
91.809,3410128,60,59.963,20.075,284215,34635,49.813,16.677,8.206,298.879,36411,80000,69286,262144,0
92.858,3410191,60,60.108,19.984,284226,34635,50.040,16.637,8.206,300.238,36412,80000,69286,262144,0
93.906,3410254,60,60.079,19.976,284225,34637,50.061,16.645,8.206,300.364,36413,80000,65736,262144,0
94.913,3410314,60,59.599,19.123,284230,34637,52.292,16.779,8.206,313.755,34638,80000,69290,262144,0
95.961,3410377,60,60.092,18.906,284231,34638,52.893,16.641,8.206,317.358,34638,80000,69292,262144,0
97.003,3410440,60,60.468,20.171,284240,34637,49.577,16.538,8.206,297.462,36414,80000,69290,262144,0
98.051,3410503,60,60.151,19.988,284247,34639,50.030,16.625,8.206,300.181,36416,80000,69294,262144,0
99.058,3410563,60,59.576,19.952,284252,34639,50.121,16.785,8.206,300.726,36417,80000,69294,262144,0
100.105,3410626,60,60.122,20.065,284263,34640,49.837,16.633,8.206,299.023,34640,80000,69296,262144,0
101.112,3410686,60,59.610,18.572,284268,34640,53.844,16.776,8.206,323.066,36417,80000,65742,262144,0
102.118,3410746,60,59.651,16.139,284273,34641,61.962,16.764,8.206,371.772,34642,80000,69298,262144,0
103.122,3410806,60,59.783,14.924,284278,34642,67.005,16.727,8.206,402.033,36419,80000,65746,262144,0
104.183,3410870,60,60.313,15.126,284276,34644,66.112,16.580,8.206,396.672,36420,80000,65750,262144,0
105.218,3410931,60,58.890,11.904,284283,34642,84.008,16.981,8.206,504.050,36419,80000,69300,262144,0
106.221,3410991,60,59.824,11.901,284288,34645,84.029,16.716,8.206,504.171,36421,80000,69306,262144,0
107.245,3411053,60,60.573,12.142,284289,32868,82.360,16.509,8.649,494.159,36422,80000,65752,262144,0
108.294,3411116,60,60.047,13.568,284293,32870,73.701,16.654,8.649,442.206,36423,80000,69310,262144,0
