elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct,candidates,candidate_capacity,old_candidate_reserve,candidate_index_capacity,candidate_vector_growths
11.527,3405349,60,44.288,7.690,283815,32814,130.031,22.580,8.649,780.187,36361,65644,65644,262144,0
12.603,3405409,60,55.731,3.805,283820,34586,262.817,17.943,8.206,1576.904,34588,69188,69188,262144,0
13.623,3405469,60,58.842,3.916,283825,32816,255.369,16.995,8.649,1532.212,36363,65648,65648,262144,0
14.685,3405529,60,56.484,3.763,283830,34587,265.762,17.704,8.206,1594.570,34588,69190,69190,262144,0
15.806,3405589,60,53.532,3.619,283835,32816,276.352,18.680,8.649,1658.115,36363,65648,65648,262144,0
16.928,3405649,60,53.474,3.532,283840,34589,283.088,18.701,8.206,1698.531,34590,69194,69194,262144,0
18.072,3405709,60,52.441,3.402,283845,32818,293.974,19.069,8.649,1763.846,36365,65652,65652,262144,0
19.170,3405769,60,54.672,3.649,283850,34590,274.043,18.291,8.206,1644.259,34591,69196,69196,262144,0
20.242,3405829,60,55.966,3.726,283855,32818,268.359,17.868,8.649,1610.152,36365,65652,65652,262144,0
21.375,3405889,60,52.928,3.610,283860,34592,277.029,18.893,8.206,1662.177,34593,69200,69200,262144,0
22.530,3405949,60,51.974,3.539,283865,32820,282.540,19.240,8.649,1695.241,36367,65656,65656,262144,0
23.686,3406009,60,51.895,3.424,283870,34593,292.067,19.270,8.206,1752.403,34594,69202,69202,262144,0
24.842,3406069,60,51.881,3.386,283875,32820,295.306,19.275,8.649,1771.837,36367,65656,65656,262144,0
26.006,3406129,60,51.579,3.334,283880,34594,299.899,19.388,8.206,1799.393,34595,69204,69204,262144,0
27.147,3406189,60,52.547,3.541,283885,32822,282.434,19.030,8.649,1694.607,36370,65660,65660,262144,0
28.232,3406249,60,55.343,3.662,283890,34596,273.078,18.069,8.206,1638.469,34597,69208,69208,262144,0
29.315,3406309,60,55.360,3.683,283895,32822,271.540,18.064,8.650,1629.241,36370,65660,65660,262144,0
30.408,3406369,60,54.901,3.713,283900,34597,269.347,18.215,8.206,1616.082,34598,69210,69210,262144,0
31.481,3406429,60,55.948,3.759,283905,32824,266.009,17.874,8.649,1596.053,36372,65664,65664,262144,0
32.536,3406489,60,56.848,3.781,283910,34599,264.505,17.591,8.206,1587.028,34600,69214,69214,262144,0
33.619,3406549,60,55.398,3.736,283915,32825,267.633,18.051,8.649,1605.797,36373,65666,65666,262144,0
34.672,3406609,60,57.014,3.839,283920,34599,260.476,17.540,8.206,1562.856,34600,69214,69214,262144,0
35.720,3406669,60,57.258,3.843,283925,32826,260.247,17.465,8.649,1561.480,36375,65668,65668,262144,0
36.785,3406729,60,56.306,3.852,283930,34601,259.624,17.760,8.206,1557.741,34602,69218,69218,262144,0
37.847,3406789,60,56.500,3.679,283935,32827,271.804,17.699,8.649,1630.827,36376,65670,65670,262144,0
38.864,3406849,60,59.000,3.945,283940,34601,253.482,16.949,8.206,1520.889,34602,69218,69218,262144,0
40.067,3406921,60,59.837,4.196,283941,34602,238.305,16.712,8.206,1429.832,34602,69220,69220,262144,0
41.270,3406993,60,59.851,4.153,283956,34603,240.768,16.708,8.206,1444.606,34604,69222,69222,262144,0
42.469,3407065,60,60.062,4.094,283956,34603,244.248,16.650,8.206,1465.490,34604,69222,69222,262144,0
43.635,3407135,60,60.030,4.291,283963,34606,233.034,16.658,8.206,1398.201,36380,69228,69228,262144,0
44.791,3407205,60,60.576,4.330,283981,32831,230.933,16.508,8.650,1385.596,36381,65678,65678,262144,0
45.933,3407274,60,60.410,4.288,283978,34608,233.190,16.554,8.206,1399.137,34608,69232,69232,262144,0
46.988,3407338,60,60.643,4.735,283979,34605,211.175,16.490,8.206,1267.053,34606,69226,69226,262144,0
48.117,3407405,60,59.352,4.558,284001,32833,219.378,16.849,8.650,1316.271,36383,65682,65682,262144,0
49.145,3407468,60,61.272,4.721,283997,32833,211.829,16.321,8.650,1270.971,36384,69234,69234,262144,0
50.258,3407536,60,61.138,5.439,283996,34609,183.872,16.356,8.206,1103.232,36385,69234,69234,262144,0
51.415,3407607,60,61.342,6.105,284004,34608,163.791,16.302,8.206,982.746,36383,69232,69232,262144,0
52.434,3407669,60,60.833,6.714,284018,32835,148.937,16.439,8.650,893.625,36385,65686,65686,262144,0
53.493,3407733,60,60.441,7.621,284017,32836,131.222,16.545,8.650,787.331,36386,65688,65688,262144,0
54.574,3407799,60,61.059,8.689,284018,34611,115.089,16.378,8.206,690.534,36387,69238,69238,262144,0
55.631,3407863,60,60.528,9.437,284027,34611,105.962,16.521,8.206,635.772,36386,69238,69238,262144,0
56.725,3407929,60,60.335,10.106,284030,34612,98.950,16.574,8.206,593.698,34614,69240,69240,262144,0
57.783,3407993,60,60.523,10.841,284034,34615,92.241,16.523,8.206,553.446,34615,69246,69246,262144,0
58.831,3408057,60,61.057,12.195,284036,34614,82.002,16.378,8.206,492.013,34615,69244,69244,262144,0
59.877,3408119,60,59.246,14.215,284039,34613,70.349,16.879,8.206,422.093,36388,69242,69242,262144,0
60.886,3408180,60,60.468,12.501,284044,32840,79.996,16.538,8.649,479.978,36391,69246,69246,262144,0
61.942,3408244,60,60.629,15.140,284060,32841,66.052,16.494,8.650,396.311,36392,69246,69246,262144,0
63.005,3408308,60,60.179,15.132,284067,32841,66.086,16.617,8.650,396.516,36393,69250,69250,262144,0
64.023,3408369,60,59.956,15.972,284069,34617,62.608,16.679,8.206,375.651,34618,69250,69250,262144,0
65.053,3408431,60,60.158,19.950,284076,34617,50.125,16.623,8.206,300.751,36394,69250,69250,262144,0
66.085,3408493,60,60.081,16.862,284081,32844,59.304,16.644,8.649,355.827,36395,65704,65704,262144,0
67.142,3408556,60,59.614,19.931,284081,32845,50.172,16.774,8.649,301.032,36395,69256,69256,262144,0
68.142,3408616,60,59.996,15.069,284086,34618,66.362,16.668,8.206,398.171,36395,69252,69252,262144,0
69.208,3408680,60,60.058,15.116,284086,34621,66.155,16.651,8.206,396.932,36396,69258,69258,262144,0
70.235,3408742,60,60.356,19.458,284097,34622,51.393,16.568,8.206,308.358,36398,65708,65708,262144,0
71.240,3408802,60,59.725,15.853,284102,34623,63.078,16.743,8.206,378.470,34623,69262,69262,262144,0
72.254,3408863,60,60.140,18.147,284105,34622,55.107,16.628,8.206,330.639,36398,69260,69260,262144,0
73.284,3408925,60,60.196,20.071,284111,32847,49.822,16.612,8.650,298.933,36399,65710,65710,262144,0
74.333,3408988,60,60.051,20.064,284120,32848,49.840,16.652,8.650,299.038,36399,69264,69264,262144,0
75.377,3409051,60,60.366,20.035,284131,34625,49.913,16.566,8.206,299.475,36401,69266,69266,262144,0
76.426,3409114,60,60.006,19.970,284130,34623,50.075,16.665,8.206,300.450,34624,69262,69262,262144,0
77.491,3409177,60,59.169,16.022,284131,34626,62.413,16.901,8.206,374.475,34626,69268,69268,262144,0
78.491,3409237,60,59.989,14.979,284136,32850,66.759,16.670,8.649,400.557,36402,65716,65716,262144,0
79.492,3409297,60,59.985,15.024,284141,34628,66.560,16.671,8.206,399.361,34628,69272,69272,262144,0
80.494,3409357,60,59.842,15.036,284146,32851,66.508,16.711,8.650,399.051,36403,65718,65718,262144,0
81.553,3409421,60,60.444,15.081,284153,32852,66.307,16.544,8.649,397.840,36404,65720,65720,262144,0
82.571,3409482,60,59.908,16.179,284159,34628,61.808,16.692,8.206,370.846,34629,69272,69272,262144,0
83.629,3409545,60,59.581,17.376,284176,34630,57.549,16.784,8.206,345.297,34630,69276,69276,262144,0
84.688,3409609,60,60.406,15.049,284170,34629,66.450,16.555,8.206,398.699,34630,69274,69274,262144,0
85.692,3409669,60,59.778,15.339,284175,32855,65.192,16.728,8.649,391.154,36406,65726,65726,262144,0
86.740,3409732,60,60.140,15.609,284188,32855,64.065,16.628,8.650,384.387,36408,69278,69278,262144,0
87.747,3409792,60,59.577,14.773,284193,34633,67.690,16.785,8.206,406.141,36408,69282,69282,262144,0
88.809,3409856,60,60.244,15.043,284188,34632,66.476,16.599,8.206,398.853,36409,69280,69280,262144,0
89.870,3409920,60,60.318,15.049,284189,34632,66.447,16.579,8.206,398.685,36408,69280,69280,262144,0
90.897,3409982,60,60.371,18.421,284199,34634,54.285,16.564,8.206,325.712,36411,65732,65732,262144,0
91.942,3410045,60,60.275,20.120,284221,32859,49.701,16.590,8.650,298.207,36411,65734,65734,262144,0
92.950,3410105,60,59.556,19.955,284226,34635,50.113,16.791,8.206,300.677,34636,69286,69286,262144,0
93.997,3410168,60,60.133,20.081,284222,34635,49.798,16.630,8.206,298.791,36412,69286,69286,262144,0
95.002,3410228,60,59.749,19.949,284227,32859,50.127,16.737,8.650,300.760,36413,69288,69288,262144,0
96.005,3410288,60,59.818,16.889,284232,34637,59.212,16.717,8.206,355.270,36415,69290,69290,262144,0
97.018,3410348,60,59.194,16.864,284237,32861,59.297,16.893,8.650,355.780,36415,69292,69292,262144,0
