elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct,candidates,candidate_capacity,old_candidate_reserve,candidate_index_capacity,candidate_vector_growths
1.032,61,60,60.018,60.041,5,1,16.655,16.662,5.000,99.932,1,8,18,16,0
2.048,122,60,60.011,60.025,5,1,16.660,16.664,5.000,99.958,1,8,18,16,0
3.050,182,60,59.915,59.825,5,1,16.715,16.690,5.000,100.292,1,8,18,16,0
11.812,3405357,60,46.502,4.591,283811,32814,217.831,21.504,8.649,1306.988,36361,131072,65644,262144,0
13.017,3405430,60,60.604,4.261,283827,34587,234.705,16.501,8.206,1408.227,36362,131072,65642,262144,0
14.134,3405498,60,60.886,4.348,283825,34588,229.988,16.424,8.206,1379.928,34589,131072,69192,262144,0
15.165,3405561,60,61.066,4.813,283827,34588,207.781,16.376,8.206,1246.687,34588,131072,69192,262144,0
16.299,3405630,60,60.893,5.387,283844,34589,185.647,16.422,8.206,1113.883,36364,131072,65648,262144,0
17.346,3405694,60,61.079,5.720,283845,34591,174.821,16.372,8.206,1048.927,36364,131072,65650,262144,0
18.388,3405758,60,61.468,7.011,283848,34590,142.636,16.269,8.206,855.817,36365,131072,65648,262144,0
19.402,3405820,60,61.132,7.653,283855,32817,130.662,16.358,8.650,783.975,36365,131072,69198,262144,0
20.465,3405885,60,61.132,9.049,283871,32818,110.509,16.358,8.650,663.054,36367,131072,65652,262144,0
21.560,3405951,60,60.256,9.995,283868,34594,100.046,16.596,8.206,600.279,36367,131072,69204,262144,0
22.569,3406012,60,60.453,11.039,283878,32819,90.590,16.542,8.650,543.542,36368,131072,69202,262144,0
23.606,3406075,60,60.773,12.519,283872,34594,79.876,16.455,8.206,479.254,36368,131072,69204,262144,0
24.619,3406136,60,60.228,15.095,283878,34594,66.249,16.604,8.206,397.495,36369,131072,69204,262144,0
25.675,3406200,60,60.614,15.158,283879,34595,65.972,16.498,8.206,395.834,36369,131072,69206,262144,0
26.720,3406263,60,60.254,18.920,283894,34596,52.853,16.596,8.206,317.121,36371,131072,69208,262144,0
27.726,3406323,60,59.686,19.821,283899,34595,50.452,16.754,8.206,302.710,36370,131072,69206,262144,0
28.757,3406385,60,60.123,14.992,283916,34597,66.703,16.632,8.206,400.216,34598,131072,69210,262144,0
29.768,3406446,60,60.348,19.474,283909,34598,51.351,16.571,8.206,308.105,36374,131072,65664,262144,0
30.768,3406506,60,59.975,20.066,283914,34599,49.836,16.674,8.206,299.013,34600,131072,69214,262144,0
31.823,3406568,60,58.763,17.787,283922,34598,56.221,17.018,8.206,337.325,36374,131072,69212,262144,0
32.904,3406631,60,58.286,11.272,283926,34599,88.712,17.157,8.206,532.271,36375,131072,69214,262144,0
33.934,3406690,60,57.303,7.916,283932,34600,126.334,17.451,8.206,758.006,34602,131072,69216,262144,0
34.995,3406751,60,57.447,5.578,283936,34601,179.268,17.407,8.206,1075.606,36377,131072,69218,262144,0
36.130,3406816,60,57.286,4.208,283936,34601,237.619,17.456,8.206,1425.715,36376,131072,69218,262144,0
37.176,3406876,60,57.354,3.825,283941,32828,261.418,17.436,8.649,1568.508,36377,131072,69220,262144,0
38.215,3406936,60,57.735,3.839,283946,34603,260.499,17.320,8.206,1562.994,36378,131072,69222,262144,0
39.249,3406996,60,58.036,3.867,283951,32830,258.616,17.231,8.649,1551.698,36379,131072,69224,262144,0
40.300,3407056,60,57.093,3.814,283956,34604,262.201,17.515,8.206,1573.207,36379,131072,69224,262144,0
41.347,3407116,60,57.306,3.805,283961,32830,262.778,17.450,8.649,1576.666,36379,131072,69224,262144,0
