elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct
1.031,61,60,60.062,60.086,5,1,16.643,16.649,5.000,99.857
2.032,121,60,59.977,59.986,5,1,16.671,16.673,5.000,100.024
3.032,181,60,59.997,59.975,5,1,16.674,16.667,5.000,100.042
4.033,241,60,59.930,59.774,5,1,16.730,16.686,5.000,100.379
5.033,301,60,59.989,59.954,5,1,16.679,16.670,5.000,100.076
6.049,362,60,60.051,60.094,5,1,16.641,16.653,5.000,99.843
7.065,423,60,60.025,60.158,5,1,16.623,16.660,5.000,99.737
8.082,484,60,60.013,60.035,5,1,16.657,16.663,5.000,99.942
9.082,544,60,59.962,59.906,5,1,16.693,16.677,5.000,100.157
10.083,604,60,59.964,59.985,5,1,16.671,16.677,5.000,100.025
11.084,664,60,59.931,60.106,5,1,16.637,16.686,5.000,99.824
12.098,725,60,60.136,60.290,5,1,16.587,16.629,5.000,99.519
13.100,785,60,59.908,60.046,5,1,16.654,16.692,5.000,99.923
14.116,846,60,60.039,59.860,5,1,16.706,16.656,5.000,100.233
15.132,907,60,60.047,60.028,5,1,16.659,16.653,5.000,99.954
16.148,968,60,59.993,59.991,5,1,16.669,16.669,5.000,100.015
17.164,1029,60,60.059,59.959,5,1,16.678,16.650,5.000,100.069
18.165,1089,60,59.966,59.982,5,1,16.672,16.676,5.000,100.029
19.166,1149,60,59.922,60.044,5,1,16.654,16.688,5.000,99.926
20.181,1210,60,60.069,60.041,5,1,16.655,16.647,5.000,99.932
21.183,1270,60,59.936,60.085,5,2,16.643,16.684,2.500,99.859
22.198,1331,60,60.073,60.272,5,1,16.591,16.646,5.000,99.548
23.214,1392,60,60.009,60.050,5,1,16.653,16.664,5.000,99.917
24.215,1452,60,59.971,59.993,5,1,16.669,16.675,5.000,100.011
25.231,1513,60,60.021,59.993,5,1,16.669,16.661,5.000,100.012
26.248,1574,60,60.026,60.020,5,1,16.661,16.659,5.000,99.967
27.248,1634,60,59.997,60.094,5,1,16.641,16.667,5.000,99.844
28.248,1694,60,59.997,59.951,5,1,16.680,16.667,5.000,100.081
29.248,1754,60,59.974,60.070,5,1,16.647,16.674,5.000,99.883
30.249,1814,60,59.945,59.947,5,1,16.681,16.682,5.000,100.088
31.264,1875,60,60.119,59.740,5,1,16.739,16.634,5.000,100.436
32.281,1936,60,59.967,59.983,5,1,16.671,16.676,5.000,100.029
33.281,1996,60,59.981,59.944,5,1,16.682,16.672,5.000,100.094
34.282,2056,60,59.937,59.999,5,1,16.667,16.684,5.000,100.001
35.298,2117,60,60.061,60.015,5,1,16.663,16.650,5.000,99.976
36.298,2177,60,59.971,60.012,5,1,16.663,16.675,5.000,99.980
37.314,2238,60,60.061,60.200,5,1,16.611,16.650,5.000,99.668
38.330,2299,60,60.018,60.000,5,3,16.667,16.662,1.667,100.000
39.331,2359,60,59.967,59.864,5,1,16.704,16.676,5.000,100.227
40.332,2419,60,59.923,59.993,5,1,16.669,16.688,5.000,100.011
41.336,2479,60,59.795,60.099,5,1,16.639,16.724,5.000,99.835
42.347,2540,60,60.284,59.987,5,1,16.670,16.588,5.000,100.021
43.349,2600,60,59.881,59.996,5,1,16.668,16.700,5.000,100.007
44.364,2661,60,60.143,59.950,5,1,16.681,16.627,5.000,100.083
45.364,2721,60,59.972,59.965,5,1,16.676,16.674,5.000,100.058
46.381,2782,60,59.993,59.996,5,1,16.668,16.669,5.000,100.006
47.382,2842,60,59.927,60.072,5,1,16.647,16.687,5.000,99.880
48.397,2903,60,60.116,60.175,5,1,16.618,16.634,5.000,99.709
49.413,2964,60,60.019,59.913,5,1,16.691,16.661,5.000,100.146
50.414,3024,60,59.964,59.952,5,1,16.680,16.677,5.000,100.079
51.414,3084,60,59.995,59.957,5,1,16.678,16.668,5.000,100.071
52.414,3144,60,59.986,59.940,5,1,16.683,16.671,5.000,100.101
53.415,3204,60,59.936,59.781,5,1,16.728,16.684,5.000,100.367
54.415,3264,60,59.999,60.135,5,1,16.629,16.667,5.000,99.776
55.431,3325,60,60.083,59.943,5,2,16.683,16.644,2.500,100.096
56.446,3386,60,60.040,60.048,5,1,16.653,16.656,5.000,99.920
57.448,3446,60,59.927,59.935,5,1,16.685,16.687,5.000,100.109
58.464,3507,60,60.036,59.979,5,1,16.672,16.657,5.000,100.035
59.481,3568,60,59.979,60.095,5,1,16.640,16.673,5.000,99.841
60.497,3629,60,60.026,60.102,5,1,16.638,16.660,5.000,99.830
61.499,3689,60,59.912,59.993,5,1,16.669,16.691,5.000,100.012
62.499,3749,60,59.998,60.024,5,1,16.660,16.667,5.000,99.960
63.499,3809,60,59.988,60.003,5,1,16.666,16.670,5.000,99.995
64.513,3870,60,60.137,60.390,5,1,16.559,16.629,5.000,99.354
65.513,3930,60,59.994,60.028,5,1,16.659,16.668,5.000,99.953
66.530,3991,60,60.020,59.924,5,1,16.688,16.661,5.000,100.127
67.532,4051,60,59.858,59.948,5,1,16.681,16.706,5.000,100.087
68.549,4112,60,60.001,59.974,5,1,16.674,16.666,5.000,100.043
69.565,4173,60,60.014,60.164,5,1,16.621,16.663,5.000,99.728
70.580,4234,60,60.073,60.178,5,1,16.617,16.646,5.000,99.705
71.596,4295,60,60.062,60.031,5,1,16.658,16.649,5.000,99.949
