elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct
1.016,60,60,59.953,59.892,5,1,16.697,16.680,5.000,100.180
2.032,121,60,60.042,59.965,5,1,16.676,16.655,5.000,100.059
3.033,181,60,59.943,59.905,5,1,16.693,16.683,5.000,100.158
4.033,241,60,59.991,60.028,5,1,16.659,16.669,5.000,99.954
5.033,301,60,59.999,60.011,5,1,16.663,16.667,5.000,99.981
6.048,362,60,60.099,60.448,5,1,16.543,16.639,5.000,99.260
7.048,422,60,59.991,59.900,5,1,16.694,16.669,5.000,100.166
8.050,482,60,59.923,60.175,5,1,16.618,16.688,5.000,99.709
9.066,543,60,60.012,60.116,5,1,16.635,16.663,5.000,99.807
28.481,60,60,59.244,60.280,92,4,16.589,16.879,23.000,99.535
29.483,120,60,59.887,59.996,94,4,16.668,16.698,23.500,100.006
30.497,181,60,60.129,60.236,93,5,16.601,16.631,18.600,99.608
31.499,241,60,59.887,59.976,85,5,16.673,16.698,17.000,100.040
34.681,60,60,59.066,59.932,0,0,16.686,16.930,0.000,100.113
40.148,134,60,59.994,59.800,256,4,16.723,16.668,64.000,100.335
42.549,193,1,0.998,60.055,176,4,16.652,1001.641,44.000,99.909
43.565,194,1,0.984,59.944,112,4,16.682,1016.191,28.000,100.094
45.347,199,5,4.944,59.951,144,4,16.680,202.271,36.000,100.082
46.348,204,5,4.992,59.908,192,4,16.692,200.338,48.000,100.153
47.365,209,5,4.917,59.980,176,4,16.672,203.369,44.000,100.034
