elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct
1.032,61,60,60.017,59.990,5,1,16.669,16.662,5.000,100.016
17.611,3405343,60,36.590,7.536,283817,34587,132.700,27.330,8.206,796.200
18.655,3405388,60,43.122,3.019,283820,32813,331.183,23.190,8.650,1987.100
19.960,3405448,60,45.969,3.043,283825,34588,328.620,21.754,8.206,1971.718
21.269,3405508,60,45.841,3.025,283830,32814,330.564,21.815,8.650,1983.387
22.575,3405568,60,45.933,3.075,283835,34588,325.241,21.771,8.206,1951.447
23.871,3405628,60,46.306,3.098,283840,32816,322.768,21.595,8.649,1936.609
25.176,3405688,60,45.976,3.055,283845,34590,327.348,21.750,8.206,1964.088
26.479,3405748,60,46.037,3.049,283850,32817,328.014,21.722,8.649,1968.085
27.778,3405808,60,46.171,3.063,283855,34590,326.494,21.659,8.206,1958.967
29.071,3405868,60,46.421,3.106,283860,32818,321.915,21.542,8.650,1931.491
30.374,3405928,60,46.038,3.109,283865,34593,321.600,21.721,8.206,1929.599
31.692,3405988,60,45.523,3.044,283870,32820,328.557,21.967,8.649,1971.340
33.019,3406048,60,45.216,2.948,283875,34593,339.230,22.116,8.206,2035.382
34.037,3406093,60,44.213,2.938,283881,32820,340.395,22.618,8.650,2042.372
35.063,3406138,60,43.880,2.907,283879,34594,343.940,22.789,8.206,2063.639
36.092,3406183,60,43.709,2.895,283887,34596,345.371,22.879,8.206,2072.226
37.121,3406228,60,43.741,2.899,283890,32822,345.005,22.862,8.649,2070.029
38.150,3406273,60,43.743,2.896,283896,34595,345.282,22.861,8.206,2071.689
39.178,3406318,60,43.775,2.944,283894,34595,339.664,22.844,8.206,2037.982
40.212,3406363,60,43.526,2.906,283902,34596,344.093,22.975,8.206,2064.557
41.253,3406408,60,43.209,2.866,283905,34597,348.968,23.144,8.206,2093.808
42.282,3406453,60,43.739,2.943,283911,32824,339.751,22.863,8.649,2038.505
43.315,3406498,60,43.569,2.899,283909,34599,344.898,22.952,8.206,2069.386
44.344,3406543,60,43.704,2.897,283917,34599,345.152,22.881,8.206,2070.915
45.371,3406588,60,43.831,2.912,283920,32824,343.421,22.815,8.650,2060.529
46.397,3406633,60,43.843,2.918,283926,34599,342.684,22.808,8.206,2056.103
47.431,3406678,60,43.543,2.930,283924,34600,341.342,22.966,8.206,2048.050
48.511,3406723,60,41.650,2.789,283932,34600,358.490,24.009,8.206,2150.938
49.552,3406768,60,43.253,2.877,283935,34601,347.613,23.120,8.206,2085.677
50.592,3406813,60,43.266,2.848,283941,32827,351.135,23.113,8.650,2106.811
51.625,3406858,60,43.531,2.904,283939,34601,344.300,22.972,8.206,2065.798
52.656,3406903,60,43.657,2.904,283947,34602,344.319,22.906,8.206,2065.915
53.689,3406948,60,43.559,2.922,283950,32829,342.209,22.958,8.649,2053.256
54.712,3406993,60,44.009,2.937,283956,34603,340.500,22.723,8.206,2043.002
55.733,3407038,60,44.074,2.956,283954,34603,338.303,22.689,8.206,2029.820
56.736,3407083,60,44.873,3.034,283962,34602,329.632,22.285,8.207,1977.792
57.748,3407128,60,44.445,3.007,283965,34604,332.508,22.500,8.206,1995.051
58.765,3407173,60,44.274,2.996,283971,32831,333.832,22.587,8.649,2002.993
59.776,3407218,60,44.485,2.966,283969,34605,337.155,22.479,8.206,2022.927
60.795,3407263,60,44.180,2.941,283977,34607,340.029,22.635,8.206,2040.174
61.796,3407308,60,44.930,2.994,283980,32832,334.035,22.257,8.649,2004.212
63.125,3407368,60,45.162,2.968,283985,34606,336.885,22.143,8.206,2021.310
64.439,3407428,60,45.661,3.078,283990,32833,324.864,21.901,8.650,1949.187
65.752,3407488,60,45.677,3.068,283995,34608,325.975,21.893,8.206,1955.851
67.081,3407548,60,45.160,3.005,284000,32834,332.723,22.144,8.650,1996.341
68.390,3407608,60,45.833,3.033,284005,34608,329.724,21.818,8.206,1978.342
69.705,3407668,60,45.616,3.073,284010,32835,325.381,21.922,8.650,1952.285
71.039,3407728,60,44.981,2.992,284015,34610,334.263,22.231,8.206,2005.580
72.066,3407773,60,43.832,2.952,284021,32838,338.745,22.814,8.649,2032.467
73.384,3407833,60,45.526,3.029,284026,34610,330.145,21.965,8.206,1980.871
74.693,3407893,60,45.844,3.035,284031,32838,329.461,21.813,8.649,1976.766
76.003,3407953,60,45.777,3.012,284036,34612,331.970,21.845,8.206,1991.822
77.319,3408013,60,45.614,3.094,284041,32840,323.211,21.923,8.649,1939.263
78.631,3408073,60,45.709,3.053,284046,34613,327.555,21.877,8.206,1965.328
79.937,3408133,60,45.944,3.057,284051,32840,327.073,21.766,8.650,1962.441
81.252,3408193,60,45.634,3.051,284056,34615,327.760,21.914,8.206,1966.560
82.565,3408253,60,45.703,3.074,284061,32842,325.352,21.881,8.649,1952.115
83.575,3408298,60,44.567,2.915,284059,34617,343.048,22.438,8.206,2058.287
84.624,3408343,60,42.893,2.782,284067,34616,359.513,23.314,8.206,2157.076
