elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct
1.015,60,60,59.995,60.144,5,1,16.627,16.668,5.000,99.760
2.015,120,60,59.991,59.972,5,1,16.674,16.669,5.000,100.046
13.421,3405340,60,34.081,2.823,283815,32813,354.214,29.342,8.649,2125.285
14.518,3405385,60,41.008,2.620,283816,34587,381.715,24.385,8.206,2290.290
15.844,3405445,60,45.241,3.012,283821,32814,331.982,22.104,8.649,1991.894
16.853,3405490,60,44.594,2.952,283832,34589,338.770,22.425,8.206,2032.623
17.933,3405535,60,41.689,2.787,283827,34588,358.817,23.987,8.206,2152.904
19.014,3405580,60,41.639,2.784,283835,32815,359.140,24.016,8.650,2154.842
20.095,3405625,60,41.629,2.777,283836,34589,360.062,24.022,8.206,2160.373
21.185,3405670,60,41.270,2.743,283847,34590,364.609,24.231,8.206,2187.655
22.271,3405715,60,41.439,2.765,283842,34592,361.601,24.132,8.205,2169.605
23.373,3405760,60,40.834,2.706,283850,34590,369.543,24.489,8.206,2217.256
24.470,3405805,60,41.032,2.746,283851,32816,364.171,24.371,8.650,2185.027
25.552,3405850,60,41.564,2.756,283862,34592,362.784,24.060,8.206,2176.704
26.635,3405895,60,41.576,2.741,283857,34592,364.849,24.052,8.206,2189.094
27.691,3405940,60,42.614,2.839,283865,32819,352.199,23.466,8.649,2113.194
28.731,3405985,60,43.240,2.861,283866,34594,349.473,23.127,8.206,2096.840
29.769,3406030,60,43.381,2.881,283877,34593,347.077,23.052,8.206,2082.463
30.791,3406075,60,44.036,2.927,283872,34594,341.675,22.708,8.206,2050.053
31.816,3406120,60,43.900,2.896,283880,34594,345.353,22.779,8.206,2072.119
32.822,3406165,60,44.712,2.970,283881,32821,336.705,22.365,8.649,2020.232
33.851,3406210,60,43.716,2.867,283892,34596,348.761,22.875,8.206,2092.566
34.861,3406255,60,44.572,2.978,283887,34596,335.751,22.435,8.206,2014.504
35.871,3406300,60,44.567,2.955,283895,32822,338.407,22.438,8.650,2030.440
36.890,3406345,60,44.150,2.989,283896,34596,334.544,22.650,8.206,2007.264
37.901,3406390,60,44.510,2.964,283907,34596,337.375,22.467,8.206,2024.247
38.906,3406435,60,44.769,2.987,283902,34598,334.796,22.337,8.206,2008.777
39.911,3406480,60,44.786,3.001,283910,34598,333.205,22.329,8.206,1999.232
40.919,3406525,60,44.639,2.966,283911,32824,337.183,22.402,8.649,2023.096
41.927,3406570,60,44.650,3.002,283922,34598,333.163,22.396,8.206,1998.981
42.936,3406615,60,44.591,2.980,283917,34599,335.567,22.426,8.206,2013.400
43.941,3406660,60,44.786,2.992,283925,32826,334.256,22.328,8.649,2005.539
44.950,3406705,60,44.601,2.966,283926,34600,337.118,22.421,8.206,2022.707
46.328,3406765,60,43.544,3.013,283931,32827,331.861,22.965,8.649,1991.168
47.339,3406810,60,44.486,2.992,283942,34601,334.239,22.479,8.206,2005.434
48.348,3406855,60,44.623,3.006,283937,34601,332.631,22.410,8.206,1995.787
49.358,3406900,60,44.520,2.985,283945,32828,334.977,22.462,8.649,2009.862
50.359,3406945,60,44.965,2.989,283946,34602,334.543,22.240,8.206,2007.261
51.371,3406990,60,44.486,2.959,283957,34603,337.905,22.479,8.206,2027.432
52.381,3407035,60,44.550,2.966,283952,34605,337.205,22.447,8.206,2023.227
53.392,3407080,60,44.515,2.956,283960,34602,338.312,22.465,8.206,2029.871
54.396,3407125,60,44.831,2.985,283961,32830,334.958,22.306,8.649,2009.750
55.414,3407170,60,44.178,2.948,283972,34606,339.222,22.636,8.206,2035.333
56.415,3407215,60,44.942,3.002,283967,34605,333.102,22.251,8.206,1998.610
57.453,3407260,60,43.354,2.878,283975,32833,347.513,23.066,8.649,2085.079
58.789,3407320,60,44.927,2.980,283980,34605,335.598,22.258,8.206,2013.586
59.790,3407365,60,44.960,2.998,283981,32832,333.525,22.242,8.650,2001.150
60.792,3407410,60,44.923,2.992,283992,34608,334.206,22.260,8.206,2005.234
61.796,3407455,60,44.812,2.972,283987,34607,336.492,22.316,8.206,2018.953
62.802,3407500,60,44.720,2.982,283995,32835,335.301,22.362,8.649,2011.805
64.135,3407560,60,45.003,2.986,284000,34608,334.928,22.221,8.206,2009.565
65.465,3407620,60,45.107,3.015,284005,32835,331.672,22.169,8.649,1990.030
66.473,3407665,60,44.674,2.979,284006,34610,335.645,22.385,8.206,2013.873
67.477,3407710,60,44.796,2.985,284017,34609,335.018,22.324,8.206,2010.106
68.481,3407755,60,44.818,2.983,284012,34613,335.192,22.313,8.205,2011.154
69.487,3407800,60,44.768,2.982,284020,34611,335.339,22.337,8.206,2012.037
70.498,3407845,60,44.499,2.948,284021,32836,339.159,22.473,8.650,2034.952
71.509,3407890,60,44.504,2.956,284032,34613,338.342,22.470,8.206,2030.050
72.513,3407935,60,44.811,2.991,284027,34613,334.333,22.316,8.206,2006.001
73.519,3407980,60,44.715,2.997,284035,32839,333.660,22.364,8.649,2001.960
74.526,3408025,60,44.688,3.002,284036,34615,333.148,22.377,8.206,1998.886
75.528,3408070,60,44.939,2.989,284047,34613,334.546,22.253,8.206,2007.274
76.554,3408115,60,43.835,2.929,284042,34615,341.397,22.813,8.206,2048.381
