elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct
1.015,60,60,59.988,59.938,5,1,16.684,16.670,5.000,100.104
2.015,120,60,59.975,59.970,5,1,16.675,16.674,5.000,100.050
3.017,180,60,59.921,60.058,5,1,16.650,16.689,5.000,99.903
4.024,241,60,60.527,60.956,5,1,16.405,16.522,5.000,98.431
5.025,301,60,59.979,59.988,5,1,16.670,16.672,5.000,100.021
6.025,361,60,59.962,59.947,5,1,16.681,16.677,5.000,100.088
7.042,422,60,59.991,59.863,5,1,16.705,16.669,5.000,100.228
8.058,483,60,60.030,59.983,5,1,16.671,16.658,5.000,100.028
9.075,544,60,60.010,60.115,5,1,16.635,16.664,5.000,99.809
10.075,604,60,59.967,60.029,5,1,16.658,16.676,5.000,99.951
11.091,665,60,60.053,59.971,5,1,16.675,16.652,5.000,100.048
12.092,725,60,59.961,60.060,5,1,16.650,16.678,5.000,99.900
13.108,786,60,60.053,59.941,5,1,16.683,16.652,5.000,100.099
14.109,846,60,59.947,59.896,5,1,16.696,16.681,5.000,100.173
15.125,907,60,60.026,59.946,5,1,16.682,16.660,5.000,100.090
16.125,967,60,59.964,59.955,5,1,16.679,16.677,5.000,100.075
17.142,1028,60,60.028,60.032,5,1,16.658,16.659,5.000,99.947
18.142,1088,60,59.998,59.964,5,1,16.677,16.667,5.000,100.060
19.142,1148,60,59.993,59.935,5,1,16.685,16.669,5.000,100.108
20.142,1208,60,59.999,60.024,5,1,16.660,16.667,5.000,99.961
21.159,1269,60,59.990,59.940,5,2,16.683,16.669,2.500,100.101
22.167,1329,60,59.515,51.074,5,1,19.580,16.802,5.000,117.477
23.183,1390,60,60.005,60.002,5,1,16.666,16.665,5.000,99.996
24.183,1450,60,59.998,60.004,5,1,16.666,16.667,5.000,99.994
25.200,1511,60,60.002,59.997,5,1,16.667,16.666,5.000,100.005
41.521,3405341,60,33.489,5.068,283813,32813,197.326,29.861,8.649,1183.956
42.650,3405386,60,39.880,2.819,283821,34587,354.705,25.075,8.206,2128.229
43.678,3405431,60,43.765,2.907,283826,34587,344.038,22.849,8.206,2064.229
44.700,3405476,60,44.036,2.945,283823,32816,339.539,22.709,8.649,2037.233
45.796,3405521,60,41.040,2.758,283828,34588,362.592,24.366,8.206,2175.553
46.924,3405566,60,39.916,2.655,283836,34588,376.580,25.052,8.206,2259.482
73.567,3405596,60,1.126,2.655,283833,32816,376.580,888.111,8.649,2259.482
74.720,3405641,60,39.030,2.606,283838,34589,383.694,25.622,8.206,2302.164
75.872,3405686,60,39.055,2.603,283846,34590,384.231,25.605,8.206,2305.383
77.036,3405731,60,38.661,2.560,283851,34592,390.588,25.866,8.206,2343.527
78.177,3405776,60,39.443,2.625,283848,34591,380.978,25.353,8.206,2285.867
79.309,3405821,60,39.753,2.647,283853,32817,377.793,25.155,8.650,2266.759
