elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct
1.031,61,60,60.007,60.059,5,1,16.650,16.665,5.000,99.902
11.442,3405334,60,28.408,1.967,283815,34587,508.495,35.201,8.206,3050.972
12.823,3405379,60,32.604,2.077,283812,34587,481.413,30.671,8.206,2888.480
14.072,3405424,60,36.011,2.403,283825,34587,416.219,27.770,8.206,2497.315
15.317,3405469,60,36.141,2.429,283825,32816,411.681,27.670,8.649,2470.088
16.602,3405514,60,35.031,2.334,283830,34587,428.521,28.546,8.206,2571.124
17.866,3405559,60,35.610,2.351,283827,34588,425.262,28.082,8.206,2551.574
19.111,3405604,60,36.127,2.402,283840,32816,416.327,27.680,8.649,2497.963
20.357,3405649,60,36.137,2.411,283840,34589,414.708,27.673,8.206,2488.250
21.599,3405694,60,36.228,2.408,283845,34591,415.236,27.603,8.206,2491.416
22.839,3405739,60,36.291,2.431,283842,34591,411.354,27.555,8.206,2468.124
24.083,3405784,60,36.176,2.413,283855,34590,414.443,27.643,8.206,2486.656
25.325,3405829,60,36.215,2.438,283855,32818,410.153,27.613,8.649,2460.920
26.571,3405874,60,36.116,2.410,283860,34591,414.973,27.689,8.206,2489.839
27.817,3405919,60,36.126,2.423,283857,34592,412.754,27.681,8.206,2476.523
29.060,3405964,60,36.185,2.402,283870,32820,416.306,27.636,8.649,2497.839
30.355,3406009,60,34.748,2.297,283870,34593,435.288,28.779,8.206,2611.726
31.677,3406054,60,34.053,2.277,283875,34593,439.237,29.366,8.206,2635.423
32.965,3406099,60,34.922,2.325,283872,34594,430.015,28.635,8.206,2580.091
34.256,3406144,60,34.876,2.320,283885,34595,431.010,28.673,8.206,2586.063
35.597,3406189,60,33.550,2.251,283885,32822,444.268,29.806,8.649,2665.607
36.926,3406234,60,33.857,2.239,283890,34596,446.689,29.536,8.206,2680.134
38.253,3406279,60,33.918,2.252,283887,34596,444.013,29.483,8.206,2664.078
39.578,3406324,60,33.952,2.275,283900,32822,439.491,29.453,8.650,2636.947
40.901,3406369,60,34.021,2.267,283900,34597,441.163,29.394,8.206,2646.978
42.243,3406414,60,33.527,2.222,283905,34598,450.136,29.826,8.206,2700.813
43.579,3406459,60,33.692,2.246,283902,34598,445.232,29.680,8.206,2671.395
