elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct
1.016,60,60,59.934,59.855,5,1,16.707,16.685,5.000,100.243
9.401,61,60,60.003,60.004,36,3,16.666,16.666,12.000,99.993
10.418,122,60,60.003,60.010,44,3,16.664,16.666,14.667,99.983
11.418,182,60,59.987,60.000,49,3,16.667,16.670,16.333,100.001
12.435,243,60,60.003,59.996,59,3,16.668,16.666,19.667,100.007
13.451,304,60,60.001,59.996,65,4,16.668,16.666,16.250,100.006
14.468,365,60,60.001,60.000,81,5,16.667,16.666,16.200,100.001
15.485,426,60,59.999,60.007,74,5,16.665,16.667,14.800,99.988
16.501,487,60,60.004,60.041,79,6,16.655,16.665,13.167,99.931
17.509,548,60,60.518,60.097,87,6,16.640,16.524,14.500,99.839
18.525,609,60,60.073,59.976,89,8,16.673,16.646,11.125,100.040
19.526,669,60,59.904,60.003,94,8,16.666,16.693,11.750,99.995
20.533,729,60,59.624,59.144,99,9,16.908,16.772,11.000,101.447
21.549,790,60,60.011,60.173,107,8,16.619,16.664,13.375,99.713
22.566,851,60,59.972,59.937,111,11,16.684,16.674,10.091,100.105
23.582,912,60,60.032,58.857,117,10,16.990,16.658,11.700,101.942
24.599,973,60,59.992,60.075,121,12,16.646,16.669,10.083,99.876
25.601,1033,60,59.866,59.883,126,10,16.699,16.704,12.600,100.196
26.602,1093,60,59.941,59.943,131,13,16.683,16.683,10.077,100.095
27.618,1154,60,60.086,60.040,130,12,16.656,16.643,10.833,99.934
