elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct,step_ms_per_generation,candidate_build_ms_per_generation,candidate_evaluate_ms_per_generation,row_compute_estimated_ms_per_generation,next_insert_estimated_ms_per_generation,rows_evaluated_per_generation,timing_samples
1.032,61,60,59.988,59.988,5,1,16.670,16.670,5.000,100.021,0.007,0.004,0.002,0.000,0.000,5.148,61
12.801,3405349,60,39.938,3.165,283815,32814,315.978,25.039,8.649,1895.870,24.335,5.071,14.383,7.440,9.597,298908.000,6494
13.993,3405409,60,50.326,3.482,283820,34586,287.153,19.871,8.206,1722.917,19.764,5.051,11.298,7.982,4.838,298817.700,8475
15.147,3405469,60,51.981,3.441,283825,32816,290.602,19.238,8.649,1743.612,19.162,5.086,10.872,7.440,4.946,298938.267,8475
16.287,3405529,60,52.628,3.553,283830,34587,281.420,19.001,8.206,1688.522,18.946,4.997,10.747,7.416,4.737,298827.700,8475
17.444,3405589,60,51.871,3.397,283835,32816,294.367,19.279,8.649,1766.202,19.234,4.990,10.916,7.530,4.765,298948.267,8475
18.607,3405649,60,51.569,3.403,283840,34589,293.859,19.392,8.206,1763.152,19.333,5.072,10.934,7.665,4.783,298838.833,8475
19.758,3405709,60,52.165,3.464,283845,32818,288.719,19.170,8.649,1732.313,19.098,5.037,10.837,7.405,4.655,298959.400,8475
20.906,3405769,60,52.237,3.494,283850,34590,286.225,19.143,8.206,1717.348,19.098,5.076,10.856,7.503,4.740,298848.833,8475
22.075,3405829,60,51.321,3.483,283855,32818,287.094,19.485,8.649,1722.562,19.430,5.171,11.002,7.571,5.525,298969.400,8475
23.223,3405889,60,52.270,3.447,283860,34592,290.105,19.132,8.206,1740.628,19.083,5.050,10.813,7.516,4.701,298859.500,8475
24.401,3405949,60,50.943,3.386,283865,32820,295.329,19.630,8.649,1771.977,19.546,5.223,11.031,7.491,4.929,298981.000,8475
25.530,3406009,60,53.156,3.544,283870,34593,282.133,18.813,8.206,1692.799,18.734,4.876,10.661,7.391,4.787,298869.500,8475
26.744,3406069,60,49.420,3.475,283875,32820,287.766,20.235,8.649,1726.595,20.181,5.277,11.605,8.139,5.382,298991.000,8475
28.006,3406129,60,47.547,3.181,283880,34594,314.343,21.032,8.206,1886.055,20.948,5.515,11.891,8.877,5.438,298879.500,8475
29.026,3406174,60,44.127,2.799,283885,34595,357.324,22.662,8.206,2143.946,22.599,5.977,12.819,9.096,5.757,299002.889,6358
30.289,3406234,60,47.506,3.162,283890,34596,316.283,21.050,8.206,1897.698,20.984,5.552,11.882,8.399,5.138,298917.883,8468
31.483,3406294,60,50.249,3.313,283895,34596,301.833,19.901,8.206,1810.997,19.815,5.222,11.207,7.686,4.956,298982.383,8482
32.678,3406354,60,50.199,3.372,283900,34596,296.543,19.921,8.206,1779.260,19.871,4.981,11.382,7.755,6.426,298927.883,8468
33.906,3406414,60,48.841,3.180,283905,34598,314.478,20.475,8.206,1886.868,20.376,5.166,11.584,7.809,5.733,298993.517,8482
35.144,3406474,60,48.465,3.230,283910,34598,309.611,20.633,8.206,1857.664,20.582,4.967,11.928,8.684,5.498,298939.017,8468
36.363,3406534,60,49.251,3.294,283915,34599,303.609,20.304,8.206,1821.654,20.257,4.981,11.649,7.412,5.440,299003.517,8482
37.571,3406594,60,49.662,3.340,283920,34598,299.365,20.136,8.206,1796.190,20.074,5.013,11.525,8.161,5.243,298949.017,8468
38.817,3406654,60,48.129,3.295,283925,34601,303.514,20.778,8.206,1821.084,20.710,5.058,11.827,7.728,5.223,299013.933,8482
40.031,3406714,60,49.460,3.282,283930,34600,304.709,20.218,8.206,1828.254,20.168,4.988,11.563,7.496,4.751,298960.867,8468
41.228,3406774,60,50.089,3.362,283935,34602,297.459,19.965,8.206,1784.756,19.911,4.984,11.432,7.577,5.867,299023.933,8482
42.447,3406834,60,49.221,3.302,283940,34600,302.836,20.317,8.206,1817.013,20.261,5.003,11.621,7.688,5.702,298970.867,8468
43.666,3406894,60,49.256,3.306,283945,34603,302.521,20.302,8.206,1815.125,20.247,5.071,11.597,7.605,5.369,299033.933,8482
44.889,3406954,60,49.029,3.232,283950,34603,309.425,20.396,8.206,1856.549,20.346,4.997,11.773,7.708,5.205,298982.750,8468
46.118,3407014,60,48.846,3.249,283955,34605,307.784,20.473,8.206,1846.702,20.417,5.066,11.720,7.499,4.655,299044.317,8482
47.340,3407074,60,49.096,3.216,283960,34603,310.974,20.368,8.206,1865.846,20.322,4.925,11.725,7.571,5.664,298992.750,8468
48.553,3407134,60,49.462,3.337,283965,34606,299.691,20.217,8.206,1798.146,20.144,4.953,11.605,7.479,4.864,299054.317,8482
49.852,3407194,60,46.193,2.969,283970,34605,336.763,21.649,8.206,2020.580,21.586,5.325,12.405,7.801,7.632,299003.883,8468
51.064,3407254,60,49.491,3.290,283975,34608,303.924,20.206,8.205,1823.544,20.161,5.111,11.563,7.424,5.401,299065.450,8482
52.292,3407314,60,48.858,3.242,283980,34606,308.434,20.468,8.206,1850.603,20.419,5.125,11.692,7.485,5.358,299013.883,8468
53.526,3407374,60,48.634,3.222,283985,34608,310.410,20.562,8.206,1862.462,20.505,5.077,11.769,7.576,6.487,299075.450,8482
54.760,3407434,60,48.608,3.300,283990,34607,303.002,20.573,8.206,1818.011,20.530,5.080,11.738,7.476,5.134,299025.017,8468
55.960,3407494,60,50.007,3.333,283995,34610,300.019,19.997,8.206,1800.117,19.955,4.951,11.488,7.433,6.277,299086.583,8482
57.145,3407554,60,50.622,3.425,284000,34608,291.957,19.754,8.206,1751.743,19.707,5.162,11.245,7.668,4.957,299035.017,8468
58.330,3407614,60,50.660,3.352,284005,34610,298.306,19.739,8.206,1789.835,19.686,5.033,11.189,7.506,5.443,299096.583,8482
59.542,3407674,60,49.496,3.238,284010,34609,308.815,20.204,8.206,1852.891,20.153,5.216,11.464,7.580,6.372,299045.133,8468
60.738,3407734,60,50.157,3.312,284015,34612,301.923,19.937,8.206,1811.535,19.879,5.022,11.332,7.485,5.250,299108.733,8482
61.931,3407794,60,50.307,3.292,284020,34611,303.733,19.878,8.206,1822.395,19.833,5.155,11.256,7.497,6.744,299055.133,8468
63.108,3407854,60,50.970,3.396,284025,34612,294.500,19.620,8.206,1766.998,19.561,4.998,11.203,7.482,5.208,299118.733,8482
64.277,3407914,60,51.317,3.453,284030,34612,289.594,19.487,8.206,1737.562,19.423,4.953,11.120,7.476,5.175,299065.133,8468
65.454,3407974,60,50.973,3.420,284035,34615,292.414,19.618,8.206,1754.485,19.561,5.127,11.056,7.412,5.102,299130.283,8482
66.631,3408034,60,51.001,3.450,284040,34614,289.895,19.608,8.206,1739.370,19.543,5.083,11.085,7.817,4.999,299075.850,8468
67.799,3408094,60,51.338,3.422,284045,34615,292.199,19.479,8.206,1753.194,19.427,4.959,11.151,7.470,5.066,299140.283,8482
68.985,3408154,60,50.616,3.453,284050,34614,289.593,19.756,8.206,1737.556,19.708,5.249,11.144,7.514,4.884,299085.850,8468
