elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct,step_ms_per_generation,candidate_build_ms_per_generation,candidate_evaluate_ms_per_generation,row_compute_estimated_ms_per_generation,next_insert_estimated_ms_per_generation,rows_evaluated_per_generation,timing_samples
1.016,60,60,59.977,59.935,5,1,16.685,16.673,5.000,100.109,0.005,0.003,0.002,0.001,0.000,5.150,60
11.263,3405338,60,34.203,4.381,283813,34587,228.250,29.237,8.206,1369.501,28.599,5.490,17.441,10.934,7.907,298843.857,4935
12.408,3405383,60,39.334,2.469,283815,34587,405.077,25.423,8.206,2430.464,25.335,5.302,15.510,11.237,5.455,298895.378,6365
13.734,3405443,60,45.217,3.012,283820,34588,331.990,22.115,8.206,1991.940,22.051,4.761,13.695,10.785,3.973,298877.050,8468
14.744,3405488,60,44.557,2.953,283832,34589,338.589,22.443,8.206,2031.533,22.378,4.829,13.879,10.999,4.587,298862.867,6365
15.820,3405533,60,41.831,2.788,283829,32814,358.725,23.906,8.650,2152.347,23.840,5.059,14.617,10.909,5.561,298946.778,6351
16.924,3405578,60,40.759,2.730,283833,34589,366.363,24.534,8.206,2198.177,24.473,5.289,14.843,10.840,4.929,298829.933,6351
18.025,3405623,60,40.884,2.734,283835,34589,365.751,24.460,8.206,2194.508,24.396,5.223,14.862,11.031,4.475,298915.378,6365
19.134,3405668,60,40.590,2.709,283847,32816,369.201,24.637,8.650,2215.205,24.573,5.296,14.893,11.023,4.766,298918.111,6351
20.232,3405713,60,40.982,2.753,283844,34592,363.296,24.401,8.205,2179.773,24.321,5.095,14.962,11.103,5.288,298842.356,6358
21.323,3405758,60,41.221,2.748,283848,34590,363.937,24.259,8.206,2183.623,24.194,5.152,14.766,10.851,5.779,298967.911,6358
22.412,3405803,60,41.315,2.756,283850,34590,362.814,24.204,8.206,2176.885,24.134,5.068,14.849,10.922,4.864,298889.244,6351
23.483,3405848,60,42.045,2.819,283862,34592,354.725,23.784,8.206,2128.351,23.710,5.032,14.561,10.973,6.435,298892.867,6365
24.546,3405893,60,42.313,2.816,283859,32818,355.087,23.634,8.649,2130.520,23.568,5.043,14.491,11.065,5.142,298979.600,6351
25.612,3405938,60,42.213,2.813,283863,34593,355.496,23.689,8.206,2132.975,23.623,5.089,14.508,11.113,7.008,298863.156,6351
