elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct
1.031,61,60,60.013,59.979,5,1,16.673,16.663,5.000,100.036
14.632,59,60,58.904,60.022,463,4,16.660,16.977,115.750,99.963
15.648,120,60,60.026,59.985,279,4,16.671,16.660,69.750,100.025
16.649,180,60,59.943,60.039,271,4,16.656,16.683,67.750,99.935
17.664,241,60,60.093,59.665,279,4,16.760,16.641,69.750,100.561
18.664,301,60,59.993,59.844,242,4,16.710,16.669,60.500,100.260
19.664,361,60,59.982,59.850,273,5,16.708,16.672,54.600,100.250
20.681,422,60,60.007,59.913,333,5,16.691,16.665,66.600,100.144
21.697,483,60,60.041,60.214,305,6,16.607,16.655,50.833,99.644
22.714,544,60,59.967,59.995,331,7,16.668,16.676,47.286,100.008
