elapsed_seconds,generation,target_gen_per_s,actual_gen_per_s,fps,alive,chunks,frame_ms,ms_per_generation,alive_per_chunk,frame_budget_usage_pct
8.111,3405355,60,42.894,3.349,283812,34588,298.567,23.313,8.206,1791.401
9.185,3405415,60,55.846,3.790,283817,34588,263.873,17.907,8.206,1583.236
10.270,3405475,60,55.300,3.721,283822,34590,268.770,18.083,8.205,1612.618
11.469,3405535,60,50.056,3.405,283827,34588,293.715,19.978,8.206,1762.288
12.643,3405595,60,51.087,3.447,283832,34590,290.127,19.574,8.206,1740.762
13.820,3405655,60,50.988,3.383,283837,34590,295.567,19.613,8.206,1773.404
14.989,3405715,60,51.351,3.417,283842,34592,292.627,19.474,8.205,1755.761
16.161,3405775,60,51.181,3.421,283847,34591,292.283,19.538,8.206,1753.700
17.339,3405835,60,50.948,3.431,283852,34592,291.483,19.628,8.206,1748.899
18.497,3405895,60,51.787,3.478,283857,34592,287.496,19.310,8.206,1724.977
19.676,3405955,60,50.896,3.383,283862,34594,295.616,19.648,8.206,1773.693
20.848,3406015,60,51.191,3.355,283867,34593,298.062,19.535,8.206,1788.372
22.021,3406075,60,51.137,3.402,283872,34594,293.927,19.555,8.206,1763.561
23.193,3406135,60,51.200,3.423,283877,34594,292.173,19.531,8.206,1753.035
24.355,3406195,60,51.659,3.429,283882,34596,291.649,19.358,8.206,1749.896
25.516,3406255,60,51.690,3.469,283887,34596,288.272,19.346,8.206,1729.634
26.649,3406315,60,52.948,3.552,283892,34596,281.523,18.887,8.206,1689.139
27.794,3406375,60,52.402,3.547,283897,34597,281.911,19.083,8.206,1691.468
28.943,3406435,60,52.219,3.449,283902,34598,289.936,19.150,8.206,1739.614
30.072,3406495,60,53.109,3.620,283907,34599,276.248,18.829,8.206,1657.487
31.223,3406555,60,52.165,3.367,283912,34599,296.987,19.170,8.206,1781.920
32.349,3406615,60,53.291,3.573,283917,34599,279.896,18.765,8.206,1679.374
33.472,3406675,60,53.405,3.578,283922,34601,279.522,18.725,8.206,1677.130
34.566,3406735,60,54.840,3.657,283927,34601,273.452,18.235,8.206,1640.711
35.665,3406795,60,54.592,3.686,283932,34602,271.292,18.318,8.206,1627.749
36.763,3406855,60,54.665,3.656,283937,34601,273.541,18.293,8.206,1641.244
37.849,3406915,60,55.242,3.724,283942,34604,268.552,18.102,8.205,1611.314
38.928,3406975,60,55.576,3.773,283947,34603,265.008,17.993,8.206,1590.049
40.009,3407035,60,55.518,3.727,283952,34605,268.322,18.012,8.206,1609.935
41.099,3407095,60,55.040,3.644,283957,34603,274.422,18.169,8.206,1646.533
42.185,3407155,60,55.256,3.728,283962,34606,268.211,18.098,8.206,1609.263
43.255,3407215,60,56.065,3.754,283967,34605,266.381,17.836,8.206,1598.285
44.348,3407275,60,54.930,3.626,283972,34608,275.815,18.205,8.205,1654.891
45.419,3407335,60,56.027,3.756,283977,34605,266.268,17.849,8.206,1597.607
46.505,3407395,60,55.226,3.707,283982,34609,269.748,18.108,8.205,1618.491
47.565,3407455,60,56.621,3.801,283987,34607,263.116,17.661,8.206,1578.694
48.654,3407515,60,55.099,3.674,283992,34611,272.209,18.149,8.205,1633.253
49.743,3407575,60,55.064,3.644,283997,34608,274.404,18.161,8.206,1646.422
50.842,3407635,60,54.594,3.629,284002,34611,275.576,18.317,8.206,1653.456
51.914,3407695,60,56.002,3.699,284007,34610,270.368,17.857,8.206,1622.209
52.998,3407755,60,55.334,3.668,284012,34613,272.665,18.072,8.205,1635.988
54.076,3407815,60,55.679,3.688,284017,34611,271.167,17.960,8.206,1627.001
55.156,3407875,60,55.525,3.717,284022,34613,269.066,18.010,8.206,1614.397
56.228,3407935,60,55.976,3.711,284027,34613,269.453,17.865,8.206,1616.717
57.306,3407995,60,55.686,3.724,284032,34615,268.520,17.958,8.205,1611.122
58.371,3408055,60,56.297,3.731,284037,34614,267.993,17.763,8.206,1607.958
59.440,3408115,60,56.127,3.696,284042,34615,270.534,17.817,8.206,1623.201
